# Position data for device 115 on 20110429
# hhmmss.sss	hhmm	ss.sss	longitude	latitude	accuracy	session_id	leg distance	leg mps	bearing	total distance	total time	average mps
114205.053	1142	05.053	2.778285556	48.86799486	0	5883	0	0	0	0	00:00:00.000	0
114208.077	1142	08.077	2.77837171	48.86788209	25	5883	14.041	4.643	3.011	14.041	00:00:03.024	4.643
114316.017	1143	16.017	2.778621095	48.8683457	15	5883	54.704	0.805	0.093	68.745	00:01:10.964	0.969
114537.803	1145	37.803	2.77870878	48.86840789	25	5883	9.440	0.067	0.239	78.185	00:03:32.750	0.367
114538.730	1145	38.730	2.778816309	48.8683249	25	5883	12.135	13.091	2.921	90.32	00:03:33.677	0.423
114540.757	1145	40.757	2.778931833	48.86823856	25	5883	12.800	6.315	2.914	103.12	00:03:35.704	0.478
114634.193	1146	34.193	2.778660001	48.86850205	15	5883	35.432	0.663	6.107	138.552	00:04:29.140	0.515
114700.560	1147	00.560	2.778575948	48.86847856	10	5883	6.689	0.254	3.696	145.241	00:04:55.507	0.491
114728.540	1147	28.540	2.778602255	48.86842546	10	5883	6.212	0.222	3.056	151.453	00:05:23.487	0.468
114844.780	1148	44.780	2.778514987	48.8684745	25	5883	8.404	0.110	5.985	159.857	00:06:39.727	0.400
114956.730	1149	56.730	2.778467034	48.86835633	25	5883	13.604	0.189	3.212	173.461	00:07:51.677	0.368
115052.777	1150	52.777	2.778204559	48.86871192	15	5883	43.976	0.785	6.156	217.437	00:08:47.724	0.412
115058.540	1150	58.540	2.778243434	48.86862064	10	5883	10.544	1.830	3.068	227.981	00:08:53.487	0.427
115110.657	1151	10.657	2.778341897	48.86855377	10	5883	10.361	0.855	2.892	238.342	00:09:05.604	0.437
115154.517	1151	54.517	2.778345437	48.86849917	10	5883	6.078	0.139	3.130	244.42	00:09:49.464	0.415
115200.523	1152	00.523	2.778364172	48.8684429	5	5883	6.407	1.067	3.084	250.827	00:09:55.470	0.421
115251.553	1152	51.553	2.778376568	48.86841109	5	5883	3.653	0.072	3.074	254.48	00:10:46.500	0.394
115357.763	1153	57.763	2.778486552	48.86836777	25	5883	9.389	0.142	2.728	263.869	00:11:52.710	0.370
115457.300	1154	57.300	2.778070072	48.86822384	15	5883	34.457	0.579	3.605	298.326	00:12:52.247	0.386
115506.210	1155	06.210	2.778218795	48.86824729	15	5883	11.204	1.257	0.831	309.53	00:13:01.157	0.396
115536.600	1155	36.600	2.778273186	48.86818952	10	5883	7.561	0.249	2.980	317.091	00:13:31.547	0.391
115551.720	1155	51.720	2.778262435	48.86817907	10	5883	1.404	0.093	3.317	318.495	00:13:46.667	0.385
115653.760	1156	53.760	2.778351382	48.8679092	15	5883	30.714	0.495	3.085	349.209	00:14:48.707	0.393
115700.730	1157	00.730	2.778212976	48.86791003	15	5883	10.141	1.455	4.747	359.35	00:14:55.677	0.401
115805.937	1158	05.937	2.778345409	48.86818014	25	5883	31.569	0.484	0.084	390.919	00:16:00.884	0.407
115918.060	1159	18.060	2.77827998	48.86835731	15	5883	20.279	0.281	6.219	411.198	00:17:13.007	0.398
115923.053	1159	23.053	2.778269364	48.86826719	10	5883	10.053	2.013	3.162	421.251	00:17:18.000	0.406
120022.763	1200	22.763	2.778596551	48.86849921	15	5883	35.221	0.590	0.239	456.472	00:18:17.710	0.416
120025.773	1200	25.773	2.778483364	48.8683892	15	5883	14.781	4.911	3.318	471.253	00:18:20.720	0.428
120027.730	1200	27.730	2.778377456	48.86826676	15	5883	15.673	8.009	3.290	486.926	00:18:22.677	0.442
120047.560	1200	47.560	2.77848179	48.86797591	5	5883	33.239	1.676	3.080	520.165	00:18:42.507	0.463
120105.567	1201	05.567	2.77839297	48.86795551	10	5883	6.892	0.383	3.786	527.057	00:19:00.514	0.462
120109.587	1201	09.587	2.778302898	48.86796497	5	5883	6.683	1.662	5.259	533.74	00:19:04.534	0.466
120113.567	1201	13.567	2.77821477	48.86797741	5	5883	6.603	1.659	5.398	540.343	00:19:08.514	0.470
120120.597	1201	20.597	2.778130945	48.86796733	10	5883	6.243	0.888	4.103	546.586	00:19:15.544	0.473
120131.573	1201	31.573	2.778052685	48.86794492	5	5883	6.252	0.570	3.684	552.838	00:19:26.520	0.474
120138.540	1201	38.540	2.777971813	48.86793643	5	5883	6.000	0.861	4.165	558.838	00:19:33.487	0.476
120145.527	1201	45.527	2.777898703	48.86790383	10	5883	6.468	0.926	3.510	565.306	00:19:40.474	0.479
120200.560	1202	00.560	2.777849457	48.86785915	5	5883	6.141	0.409	3.329	571.447	00:19:55.507	0.478
120208.577	1202	08.577	2.777812398	48.86781076	5	5883	6.028	0.752	3.273	577.475	00:20:03.524	0.480
120214.563	1202	14.563	2.777788353	48.86775878	10	5883	6.044	1.010	3.221	583.519	00:20:09.510	0.482
120225.537	1202	25.537	2.777760985	48.86770298	5	5883	6.522	0.594	3.226	590.041	00:20:20.484	0.483
120230.560	1202	30.560	2.77771302	48.86765561	5	5883	6.333	1.261	3.314	596.374	00:20:25.507	0.487
120236.557	1202	36.557	2.777669381	48.86760078	5	5883	6.885	1.148	3.278	603.259	00:20:31.504	0.490
120241.543	1202	41.543	2.777636079	48.86754871	5	5883	6.284	1.260	3.251	609.543	00:20:36.490	0.493
120247.587	1202	47.587	2.777599131	48.86749166	5	5883	6.898	1.141	3.253	616.441	00:20:42.534	0.496
120249.547	1202	49.547	2.777597882	48.86748237	5	5883	1.037	0.529	3.165	617.478	00:20:44.494	0.496
120256.557	1202	56.557	2.777596588	48.86742119	5	5883	6.805	0.971	3.145	624.283	00:20:51.504	0.499
120354.823	1203	54.823	2.777634014	48.86728622	15	5883	15.260	0.262	3.094	639.543	00:21:49.770	0.488
120457.793	1204	57.793	2.778377596	48.86681812	25	5883	75.356	1.197	2.876	714.899	00:22:52.740	0.521
120459.753	1204	59.753	2.77808864	48.86669593	15	5883	25.157	12.835	3.526	740.056	00:22:54.700	0.538
120505.743	1205	05.743	2.778227104	48.86672537	10	5883	10.660	1.780	0.678	750.716	00:23:00.690	0.544
120602.727	1206	02.727	2.778171348	48.86632783	15	5883	44.402	0.779	3.166	795.118	00:23:57.674	0.553
120709.920	1207	09.920	2.777875744	48.86640746	25	5883	23.399	0.348	5.718	818.517	00:25:04.867	0.544
120710.877	1207	10.877	2.778014893	48.86645921	15	5883	11.708	12.234	0.431	830.225	00:25:05.824	0.551
120715.873	1207	15.873	2.778099022	48.86654308	15	5883	11.181	2.238	0.170	841.406	00:25:10.820	0.557
120821.757	1208	21.757	2.777892669	48.86638303	25	5883	23.355	0.354	3.358	864.761	00:26:16.704	0.548
120833.567	1208	33.567	2.777973113	48.86642828	15	5883	7.750	0.656	0.295	872.511	00:26:28.514	0.549
120836.953	1208	36.953	2.778047354	48.86640081	10	5883	6.239	1.843	2.709	878.75	00:26:31.900	0.552
120841.107	1208	41.107	2.778138128	48.86641325	10	5883	6.793	1.635	0.895	885.543	00:26:36.054	0.555
120846.983	1208	46.983	2.778193095	48.86645863	10	5883	6.457	1.099	0.204	892	00:26:41.930	0.557
121201.953	1212	01.953	2.77818907	48.86661187	10	5883	17.046	0.087	6.279	909.046	00:29:56.900	0.506
121222.943	1212	22.943	2.77816441	48.86663176	10	5883	2.856	0.136	6.074	911.902	00:30:17.890	0.502
121332.170	1213	32.170	2.778509881	48.86635568	15	5883	39.793	0.575	2.931	951.695	00:31:27.117	0.504
121336.117	1213	36.117	2.778364906	48.86639806	10	5883	11.621	2.944	5.754	963.316	00:31:31.064	0.509
121442.147	1214	42.147	2.777951875	48.86666474	15	5883	42.373	0.642	6.024	1005.689	00:32:37.094	0.514
121447.143	1214	47.143	2.778061212	48.86660907	15	5883	10.125	2.027	2.817	1015.814	00:32:42.090	0.518
121551.167	1215	51.167	2.778183861	48.86666772	25	5883	11.104	0.173	0.344	1026.918	00:33:46.114	0.507
121657.130	1216	57.130	2.778195717	48.86654976	15	5883	13.148	0.199	3.124	1040.066	00:34:52.077	0.497
121806.093	1218	06.093	2.778539108	48.86684255	25	5883	41.151	0.597	0.198	1081.217	00:36:01.040	0.500
