0.852, 0.845, 0.683, 0.764, 0.698, 0.610, 0.713, 0.801, 0.683, 0.827
0.970, 0.948, 0.926, 0.948, 0.948, 0.933, 0.933, 0.955, 0.948, 0.965
0.977, 0.963, 0.786, 0.823, 0.904, 0.838, 0.845, 0.948, 0.955, 0.910
0.911, 0.860, 0.75, 0.801, 0.801, 0.801, 0.794, 0.816, 0.735, 0.903
0.919, 0.875, 0.794, 0.838, 0.801, 0.764, 0.735, 0.933, 0.882, 0.875
0.933, 0.926, 0.845, 0.897, 0.904, 0.808, 0.823, 0.919, 0.823, 0.862
0.955, 0.955, 0.919, 0.963, 0.919, 0.911, 0.889, 0.963, 0.919, 0.979
0.889, 0.882, 0.705, 0.808, 0.735, 0.720, 0.735, 0.904, 0.786, 0.834
0.948, 0.926, 0.830, 0.838, 0.904, 0.919, 0.845, 0.941, 0.875, 0.868
0.889, 0.852, 0.720, 0.683, 0.786, 0.808, 0.764, 0.926, 0.823, 0.834
0.948, 0.860, 0.852, 0.882, 0.933, 0.919, 0.904, 0.963, 0.970, 0.965
0.889, 0.75, 0.757, 0.713, 0.720, 0.676, 0.580, 0.801, 0.992, 0.972
0.882, 0.75, 0.698, 0.720, 0.779, 0.683, 0.676, 0.882, 0.830, 0.751
0.941, 0.889, 0.852, 0.955, 0.926, 0.830, 0.830, 0.919, 0.919, 0.951
0.911, 0.933, 0.875, 0.919, 0.860, 0.897, 0.867, 0.963, 0.933, 0.910
0.963, 0.933, 0.860, 0.897, 0.867, 0.897, 0.801, 0.904, 0.830, 0.882
0.985, 0.985, 0.919, 0.955, 0.941, 0.933, 0.955, 0.963, 0.882, 0.944
0.904, 0.904, 0.786, 0.786, 0.801, 0.705, 0.75, 0.875, 0.779, 0.813
0.955, 0.941, 0.963, 0.941, 0.963, 0.992, 0.941, 0.985, 0.970, 0.972
0.823, 0.816, 0.742, 0.632, 0.75, 0.713, 0.654, 0.867, 0.772, 0.841
0.970, 0.926, 0.867, 0.926, 0.926, 0.889, 0.882, 0.926, 0.860, 0.937
