0.823, 0.838, 0.691, 0.757, 0.610, 0.580, 0.595, 0.691, 0.661, 0.8
0.948, 0.948, 0.882, 0.889, 0.897, 0.911, 0.852, 0.911, 0.919, 0.944
0.889, 0.911, 0.713, 0.698, 0.801, 0.808, 0.764, 0.860, 0.897, 0.875
0.852, 0.801, 0.713, 0.735, 0.691, 0.794, 0.727, 0.735, 0.720, 0.765
0.816, 0.838, 0.713, 0.727, 0.757, 0.764, 0.625, 0.816, 0.786, 0.841
0.823, 0.816, 0.772, 0.801, 0.779, 0.691, 0.75, 0.786, 0.683, 0.813
0.926, 0.933, 0.897, 0.897, 0.779, 0.794, 0.75, 0.816, 0.845, 0.958
0.875, 0.852, 0.698, 0.720, 0.580, 0.735, 0.661, 0.845, 0.772, 0.806
0.860, 0.897, 0.823, 0.808, 0.882, 0.904, 0.808, 0.904, 0.852, 0.841
0.816, 0.801, 0.683, 0.647, 0.772, 0.786, 0.713, 0.911, 0.801, 0.779
0.911, 0.860, 0.830, 0.897, 0.867, 0.882, 0.860, 0.933, 0.970, 0.937
0.698, 0.735, 0.720, 0.661, 0.713, 0.617, 0.558, 0.727, 0.801, 0.820
0.779, 0.705, 0.661, 0.661, 0.720, 0.625, 0.647, 0.838, 0.779, 0.717
0.794, 0.882, 0.823, 0.904, 0.808, 0.801, 0.727, 0.867, 0.867, 0.944
0.823, 0.882, 0.816, 0.830, 0.742, 0.845, 0.727, 0.919, 0.897, 0.903
0.867, 0.875, 0.801, 0.830, 0.764, 0.808, 0.691, 0.808, 0.764, 0.820
0.919, 0.919, 0.882, 0.926, 0.845, 0.75, 0.764, 0.852, 0.830, 0.910
0.867, 0.852, 0.757, 0.705, 0.742, 0.639, 0.720, 0.830, 0.786, 0.806
0.948, 0.933, 0.948, 0.897, 0.963, 0.992, 0.941, 0.985, 0.970, 0.965
0.713, 0.786, 0.720, 0.588, 0.705, 0.735, 0.669, 0.823, 0.720, 0.813
0.838, 0.926, 0.816, 0.911, 0.705, 0.830, 0.779, 0.845, 0.845, 0.924
