0.705, 0.683, 0.551, 0.580, 0.529, 0.5, 0.602, 0.639, 0.551, 0.627
0.875, 0.904, 0.852, 0.867, 0.860, 0.830, 0.838, 0.897, 0.889, 0.924
0.816, 0.860, 0.764, 0.691, 0.764, 0.764, 0.772, 0.838, 0.845, 0.834
0.691, 0.661, 0.654, 0.727, 0.654, 0.720, 0.691, 0.676, 0.647, 0.696
0.742, 0.801, 0.713, 0.75, 0.669, 0.713, 0.617, 0.742, 0.764, 0.744
0.830, 0.852, 0.779, 0.757, 0.786, 0.683, 0.779, 0.816, 0.705, 0.758
0.845, 0.889, 0.845, 0.875, 0.845, 0.838, 0.845, 0.867, 0.897, 0.896
0.727, 0.705, 0.610, 0.580, 0.625, 0.610, 0.617, 0.705, 0.639, 0.627
0.794, 0.764, 0.713, 0.75, 0.779, 0.830, 0.779, 0.823, 0.801, 0.772
0.727, 0.735, 0.647, 0.580, 0.676, 0.669, 0.654, 0.691, 0.676, 0.710
0.823, 0.786, 0.764, 0.801, 0.772, 0.852, 0.852, 0.875, 0.867, 0.841
0.661, 0.705, 0.698, 0.705, 0.544, 0.529, 0.588, 0.632, 0.742, 0.710
0.639, 0.639, 0.654, 0.610, 0.698, 0.514, 0.580, 0.654, 0.661, 0.696
0.823, 0.830, 0.808, 0.794, 0.786, 0.794, 0.705, 0.801, 0.808, 0.786
0.801, 0.845, 0.772, 0.786, 0.786, 0.823, 0.742, 0.897, 0.904, 0.806
0.852, 0.830, 0.757, 0.816, 0.779, 0.735, 0.654, 0.764, 0.698, 0.779
0.882, 0.919, 0.823, 0.882, 0.867, 0.875, 0.838, 0.845, 0.852, 0.862
0.713, 0.727, 0.632, 0.698, 0.647, 0.617, 0.683, 0.698, 0.647, 0.710
0.889, 0.897, 0.875, 0.897, 0.882, 0.926, 0.919, 0.926, 0.926, 0.931
0.647, 0.654, 0.676, 0.595, 0.632, 0.676, 0.580, 0.786, 0.639, 0.758
0.816, 0.808, 0.801, 0.801, 0.801, 0.779, 0.808, 0.875, 0.816, 0.862
