0.845, 0.845, 0.654, 0.735, 0.676, 0.617, 0.676, 0.757, 0.632, 0.8
0.970, 0.948, 0.919, 0.948, 0.948, 0.926, 0.933, 0.955, 0.948, 0.965
0.963, 0.963, 0.779, 0.816, 0.897, 0.830, 0.845, 0.941, 0.955, 0.910
0.875, 0.845, 0.757, 0.779, 0.779, 0.786, 0.779, 0.794, 0.720, 0.896
0.919, 0.845, 0.801, 0.838, 0.779, 0.757, 0.735, 0.926, 0.882, 0.848
0.911, 0.911, 0.852, 0.897, 0.904, 0.808, 0.830, 0.897, 0.823, 0.848
0.955, 0.955, 0.919, 0.963, 0.919, 0.911, 0.889, 0.963, 0.919, 0.979
0.882, 0.845, 0.698, 0.794, 0.691, 0.691, 0.713, 0.875, 0.772, 0.8
0.948, 0.926, 0.823, 0.830, 0.897, 0.919, 0.845, 0.926, 0.875, 0.868
0.867, 0.838, 0.713, 0.661, 0.772, 0.794, 0.757, 0.889, 0.801, 0.793
0.948, 0.860, 0.852, 0.882, 0.933, 0.919, 0.897, 0.955, 0.970, 0.951
0.875, 0.742, 0.735, 0.727, 0.720, 0.661, 0.588, 0.772, 0.963, 0.924
0.794, 0.720, 0.683, 0.698, 0.779, 0.617, 0.669, 0.823, 0.794, 0.744
0.933, 0.889, 0.852, 0.933, 0.919, 0.830, 0.830, 0.911, 0.911, 0.937
0.911, 0.933, 0.875, 0.919, 0.852, 0.897, 0.867, 0.955, 0.933, 0.910
0.963, 0.933, 0.852, 0.889, 0.860, 0.897, 0.801, 0.882, 0.830, 0.889
0.977, 0.985, 0.911, 0.955, 0.941, 0.933, 0.955, 0.963, 0.882, 0.944
0.875, 0.882, 0.772, 0.779, 0.794, 0.705, 0.742, 0.867, 0.772, 0.793
0.955, 0.941, 0.963, 0.941, 0.963, 0.992, 0.941, 0.985, 0.970, 0.972
0.823, 0.786, 0.772, 0.676, 0.727, 0.735, 0.610, 0.838, 0.772, 0.786
0.970, 0.926, 0.867, 0.926, 0.926, 0.889, 0.882, 0.941, 0.860, 0.937
