# Position data for device 124 on 20110424
# hhmmss.sss	hhmm	ss.sss	longitude	latitude	accuracy	session_id	leg distance	leg mps	bearing	total distance	total time	average mps
111651.193	1116	51.193	2.778546016	48.87106532	50	3691	0	0	0	0	00:00:00.000	0
111652.153	1116	52.153	2.778546016	48.87106532	0	3691	0.000	0.000	0.000	0	00:00:00.960	0.000
111653.140	1116	53.140	2.778546016	48.87106532	0	3691	0.000	0.000	0.000	0	00:00:01.947	0.000
111655.153	1116	55.153	2.778790581	48.87067557	15	3691	46.904	23.301	3.032	46.904	00:00:03.960	11.844
111658.350	1116	58.350	2.778867241	48.87058898	15	3691	11.148	3.487	2.988	58.052	00:00:07.157	8.111
111802.550	1118	02.550	2.778708046	48.87058227	25	3691	11.687	0.182	4.476	69.739	00:01:11.357	0.977
111909.610	1119	09.610	2.778800347	48.87050615	25	3691	10.835	0.162	2.933	80.574	00:02:18.417	0.582
112021.577	1120	21.577	2.778794685	48.87057514	25	3691	7.684	0.107	6.269	88.258	00:03:30.384	0.420
112151.500	1121	51.500	2.779387261	48.87070993	100	3691	45.929	0.511	0.656	134.187	00:05:00.307	0.447
112258.663	1122	58.663	2.77860477	48.87084952	15	3691	59.392	0.884	5.506	193.579	00:06:07.470	0.527
112411.483	1124	11.483	2.779075981	48.87165545	25	3691	96.052	1.319	0.103	289.631	00:07:20.290	0.658
112412.473	1124	12.473	2.779075981	48.87165545	25	3691	0.000	0.000	3.142	289.631	00:07:21.280	0.656
112420.350	1124	20.350	2.779046634	48.87153011	25	3691	14.105	1.791	3.183	303.736	00:07:29.157	0.676
112421.353	1124	21.353	2.779046634	48.87153011	25	3691	0.000	0.000	0.000	303.736	00:07:30.160	0.675
112424.353	1124	24.353	2.778909815	48.87139903	15	3691	17.692	5.897	3.323	321.428	00:07:33.160	0.709
112425.360	1124	25.360	2.778909815	48.87139903	15	3691	0.000	0.000	0.000	321.428	00:07:34.167	0.708
112545.663	1125	45.663	2.777201183	48.87219757	25	3691	153.481	1.911	5.922	474.909	00:08:54.470	0.889
112547.617	1125	47.617	2.777254898	48.87209826	25	3691	11.725	6.001	3.046	486.634	00:08:56.424	0.907
112553.360	1125	53.360	2.77734333	48.87201034	25	3691	11.730	2.042	2.966	498.364	00:09:02.167	0.919
