# Position data for device 239 on 20110424
# hhmmss.sss	hhmm	ss.sss	longitude	latitude	accuracy	session_id	leg distance	leg mps	bearing	total distance	total time	average mps
100633.377	1006	33.377	2.778677568	48.87095578	50	3607	0	0	0	0	00:00:00.000	0
100638.330	1006	38.330	2.778843823	48.87058013	25	3607	43.518	8.786	3.064	43.518	00:00:04.953	8.786
100709.477	1007	09.477	2.778898188	48.8704983	10	3607	9.934	0.319	3.026	53.452	00:00:36.100	1.481
100825.177	1008	25.177	2.778338714	48.8717573	50	3607	145.900	1.927	6.205	199.352	00:01:51.800	1.783
100827.180	1008	27.180	2.778391719	48.87137772	15	3607	42.395	21.166	3.117	241.747	00:01:53.803	2.124
100828.130	1008	28.130	2.778510017	48.87111515	10	3607	30.462	32.065	3.063	272.209	00:01:54.753	2.372
100829.213	1008	29.213	2.778550248	48.8710183	10	3607	11.167	10.311	3.069	283.376	00:01:55.836	2.446
100937.250	1009	37.250	2.778454265	48.87125763	5	3607	27.531	0.405	6.213	310.907	00:03:03.873	1.691
100941.243	1009	41.243	2.778444234	48.87129493	5	3607	4.213	1.055	6.236	315.12	00:03:07.866	1.677
100945.210	1009	45.210	2.778430474	48.8713307	5	3607	4.104	1.035	6.216	319.224	00:03:11.833	1.664
101013.250	1010	13.250	2.778332195	48.87139902	10	3607	10.468	0.373	6.035	329.692	00:03:39.873	1.499
101033.167	1010	33.167	2.778240094	48.87148635	10	3607	11.826	0.594	6.100	341.518	00:03:59.790	1.424
101035.193	1010	35.193	2.77820514	48.87151687	10	3607	4.252	2.099	6.084	345.77	00:04:01.816	1.430
101038.253	1010	38.253	2.778166689	48.87154971	10	3607	4.613	1.508	6.080	350.383	00:04:04.876	1.431
101041.227	1010	41.227	2.778115389	48.87158959	10	3607	5.814	1.955	6.061	356.197	00:04:07.850	1.437
101109.153	1011	09.153	2.777825596	48.87177386	15	3607	29.508	1.057	6.013	385.705	00:04:35.776	1.399
101114.200	1011	14.200	2.777781638	48.8718066	5	3607	4.861	0.963	6.051	390.566	00:04:40.823	1.391
101118.243	1011	18.243	2.777742509	48.87184128	5	3607	4.806	1.189	6.087	395.372	00:04:44.866	1.388
101145.180	1011	45.180	2.777512845	48.87203256	10	3607	27.123	1.007	6.074	422.495	00:05:11.803	1.355
101150.210	1011	50.210	2.777475636	48.87206363	5	3607	4.401	0.875	6.075	426.896	00:05:16.833	1.347
101155.247	1011	55.247	2.777428409	48.872093	5	3607	4.758	0.945	6.007	431.654	00:05:21.870	1.341
101221.213	1012	21.213	2.777057034	48.87211099	5	3607	27.280	1.051	4.980	458.934	00:05:47.836	1.319
101224.140	1012	24.140	2.777016953	48.87210728	5	3607	2.965	1.013	4.229	461.899	00:05:50.763	1.317
101225.130	1012	25.130	2.777004439	48.87210616	5	3607	0.925	0.934	4.243	462.824	00:05:51.753	1.316
101226.130	1012	26.130	2.77699069	48.87210678	5	3607	1.010	1.010	4.962	463.834	00:05:52.753	1.315
101227.150	1012	27.150	2.77697709	48.8721075	5	3607	1.000	0.980	5.004	464.834	00:05:53.773	1.314
101228.137	1012	28.137	2.776964503	48.87210938	5	3607	0.946	0.958	5.415	465.78	00:05:54.760	1.313
101229.133	1012	29.133	2.776953366	48.8721132	5	3607	0.920	0.924	5.808	466.7	00:05:55.756	1.312
101230.137	1012	30.137	2.776943243	48.8721175	5	3607	0.882	0.878	5.889	467.582	00:05:56.760	1.311
101231.133	1012	31.133	2.7769326	48.87212188	5	3607	0.919	0.923	5.878	468.501	00:05:57.756	1.310
101232.133	1012	32.133	2.776921736	48.87212637	5	3607	0.940	0.940	5.879	469.441	00:05:58.756	1.309
101233.137	1012	33.137	2.776910538	48.87212997	5	3607	0.913	0.909	5.781	470.354	00:05:59.760	1.307
101234.133	1012	34.133	2.776897525	48.87213182	5	3607	0.975	0.979	5.390	471.329	00:06:00.756	1.307
101235.137	1012	35.137	2.776885066	48.872133	5	3607	0.922	0.918	5.205	472.251	00:06:01.760	1.305
101236.137	1012	36.137	2.776872987	48.87213426	5	3607	0.896	0.896	5.246	473.147	00:06:02.760	1.304
101237.133	1012	37.133	2.776860357	48.87213395	5	3607	0.926	0.930	4.574	474.073	00:06:03.756	1.303
101238.133	1012	38.133	2.776847791	48.87213191	5	3607	0.948	0.948	3.969	475.021	00:06:04.756	1.302
101239.137	1012	39.137	2.776834692	48.87213015	5	3607	0.979	0.975	4.062	476	00:06:05.760	1.301
101240.133	1012	40.133	2.776821354	48.87212839	10	3607	0.997	1.001	4.071	476.997	00:06:06.756	1.301
101241.133	1012	41.133	2.776807677	48.87212583	10	3607	1.042	1.042	3.898	478.039	00:06:07.756	1.300
101242.137	1012	42.137	2.776792974	48.87212329	5	3607	1.114	1.110	3.938	479.153	00:06:08.760	1.299
101243.137	1012	43.137	2.776777645	48.87212181	5	3607	1.135	1.135	4.212	480.288	00:06:09.760	1.299
101244.140	1012	44.140	2.776767476	48.8721198	5	3607	0.778	0.776	3.871	481.066	00:06:10.763	1.298
101245.140	1012	45.140	2.776754421	48.87211896	5	3607	0.961	0.961	4.363	482.027	00:06:11.763	1.297
