Date,Time,Device Number,Hotel Guest?,AP?,On Property?,Which resort?,Meal Plan?,# Trips,Within past 5 years,Country of Residence,People in group,Relationship,Person 1 gender,person 1 age,person 2 gender,person 2 age,person 3 gender,person 3 age,person 4 gender,person 4 age,person 5 gender,person 5 age,Thrill Rides,Non-Thrill Rides,Indoor Shows,Parades and Fireworks,Meeting Characters,Overall Atmosphere,Plan for the day?,Dining reservations?,Must See attractions?,List,"Wait for ""must see""",Wait for others,
4/21/2011,10:30:00,12,,N,N,,,'2-4,,Belgium,3,Family,M,45,F,14,F,16,,,,,Thrill rides,Non-thrill rides,Indoor shows,,,Overall atmosphere,Definitely,N,Y,Indiana Jones,60,30,
4/21/2011,10:25:00,12,,N,N,,N,'2-4,,Netherlands,4,Family,F,38,M,38,F,8,F,5,,,Thrill rides,Non-thrill rides,,Parades and fireworks,,Overall atmosphere,None,N,,,,,
4/21/2011,10:45:00,13,,N,Y,Hotel New York,N,'2-4,Y,France,2,Friends,F,23,F,23,,,,,,,Thrill rides,,,,,,None,N,Y,La Manoir Hante,,20,
4/21/2011,11:15:00,14,,N,N,,N,'2-4,Y,France,4,Friends,F,16,M,18,M,18,,,,,Thrill rides,,,,,,Not really,N,,,,,
4/21/2011,10:45:00,15,,Y,N,,N,5+,Y,Belgium,4,Family,F,30,M,29,F,6,M,2,,,,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,,Not really,N,,,,,
4/21/2011,11:20:00,16,,N,N,,N,'2-4,N,France,2,Family,M,,M,,,,,,,,Thrill rides,Non-thrill rides,,,,,Somewhat,N,Y,Pirates of the Carribean,30,15,
4/21/2011,,17,,Y,N,,,5+,Y,France,2,Other (?),F,23,M,34,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,,,Overall atmosphere,None,N,Y,Tower of Terror,30,30,
4/21/2011,10:30:00,18,,N,N,,N,5+,,,2,Friends,F,26,M,28,,,,,,,Thrill rides,,,Parades and fireworks,,,,N,Y,Toutes?,15,5,
4/21/2011,10:00:00,19,,N,Y,Santa Fe,Y,'2-4,Y,France,2,Family,M,43,F,47,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,Y,,,,,
4/21/2011,10:20:00,20,,N,Y,Newport Bay,N,1,,France,3,Family,F,37,M,35,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/21/2011,11:30:00,21,,N,N,,N,'2-4,Y,France,3,Family,F,30,F,10,M,8,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/21/2011,10:30:00,22,,N,Y,Cheyenne,N,'2-4,Y,Belgium,3,Family,F,35,M,39,F,6,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,Y,Crush,30,30,
4/21/2011,11:00:00,23,,N,N,,,1,,Belgium,5,Friends,M,51,F,45,F,11,M,3,M,4,,Non-thrill rides,,Parades and fireworks,,Overall atmosphere,None,N,N,,30,30,
4/21/2011,,24,,Y,N,,,5+,,,5,Family,F,38,F,63,F,9,M,6,M,30,Thrill rides,Non-thrill rides,,,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/21/2011,11:15:00,24,,N,Y,Santa Fe,N,1,,Germany,4,Family,F,50,M,30,F,6,M,3,,,,,Indoor shows,,,Overall atmosphere,Not really,N,,,,,
4/21/2011,11:00:00,25,,N,Y,Davy Crockett Ranch,Y,'2-4,N,France,3,Family,F,35,M,33,F,6,,,,,,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,,Not really,N,,,,,
4/21/2011,11:40:00,26,,N,N,,N,'2-4,Y,France,2,Family,F,27,M,20,,,,,,,Thrill rides,Non-thrill rides,,,,Overall atmosphere,None,N,,,,,
4/21/2011,10:20:00,27,,N,N,,N,5+,Y,France,2,Friends,F,20,F,20,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,N,Y,Toutes?,60,60,
4/21/2011,10:35:00,28,,N,Y,Cheyenne,N,1,,UK,4,Family,F,40,M,40,M,12,F,5,,,,,Indoor shows,,Meeting characters,Overall atmosphere,Not really,Y,Y,Thunder Mountain,,,
4/21/2011,10:30:00,29,,Y,N,,,5+,Y,France,3,Family,F,31,F,57,F,2,,,,,,Non-thrill rides,,,Meeting characters,,Not really,N,,,,,
4/21/2011,10:00:00,30,,Y,Y,,N,5+,,France,4,Family,F,34,M,47,F,7,M,4,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/21/2011,10:40:00,31,,N,Y,,N,1,N,Spain,4,Family,M,,F,,M,5,M,2,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Definitely,Y,N,,50,15,
4/21/2011,10:45:00,32,,N,N,,,1,,Ireland,2,Family,M,52,F,20,,,,,,,Thrill rides,,,,,,Somewhat,N,,,,,
4/21/2011,10:00:00,33,,N,N,,,'2-4,N,Australia,4,Family,M,55,F,47,M,12,M,8,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/21/2011,10:30:00,34,,N,Y,Cheyenne,N,'2-4,Y,Germany,2,Couple,F,31,M,40,,,,,,,,Non-thrill rides,Indoor shows,Parades and fireworks,,Overall atmosphere,None,N,Y,"Phantom Manor, Stunt Show",30,20,
4/21/2011,10:45:00,35,,N,Y,Cheyenne,N,5+,,France,4,Family,F,36,M,41,M,10,M,6,,,Thrill rides,Non-thrill rides,,Parades and fireworks,,,Somewhat,N,,,,,
4/21/2011,11:05:00,36,,N,N,,N,1,N,France,2,Family,F,44,F,9,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,,Not really,N,N,,15,10,
4/21/2011,,37,,N,Y,Santa Fe,N,1,,UAE,4,Family,M,33,F,28,F,2,M,4,,,,,Indoor shows,Parades and fireworks,,Overall atmosphere,Definitely,N,Y,Characters,15,15,
4/21/2011,,39,,N,N,,,1,,UK,4,Family,M,,F,,M,12,F,10,,,Thrill rides,,,,,,Not really,,Y,Indiana Jones,20,,
4/21/2011,11:00:00,40,,N,N,,N,1,N,UK,2,Couple,M,44,F,28,,,,,,,Thrill rides,,Indoor shows,,,Overall atmosphere,Not really,N,N,,,,
4/21/2011,11:00:00,41,,N,N,,N,'2-4,Y,Portugal,3,Family,M,36,F,36,F,9,,,,,Thrill rides,,Indoor shows,Parades and fireworks,,,Somewhat,N,,,,,
4/21/2011,10:30:00,42,,N,Y,Newport Bay,N,1,N,Belgium,4,Family,M,44,F,42,F,11,M,7,,,Thrill rides,Non-thrill rides,Indoor shows,,,,Definitely,Y,Y,Peter Pan,20,30,
4/21/2011,10:00:00,43,,N,N,,N,5+,Y,France,5,Family,F,14,F,14,F,13,F,26,M,44,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,,Overall atmosphere,Not really,N,,,,,
4/21/2011,10:10:00,44,,N,N,,N,1,N,France,4,Family,F,45,M,45,F,12,F,5,,,Thrill rides,Non-thrill rides,,,Meeting characters,,Somewhat,N,Y,"Peter Pan, Space Mountain",30,20,
4/21/2011,11:10:00,45,,N,Y,Hotel New York,Y,'2-4,Y,France,4,Family,M,39,F,39,M,8,F,4,,,,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,,Not really,Y,N,,,,
4/21/2011,11:15:00,47,,N,Y,Santa Fe,N,'2-4,Y,France,3,Family,F,43,F,16,M,18,,,,,Thrill rides,,,,,,Not really,N,Y,Space Mountain,60,30,
4/21/2011,10:40:00,48,,N,Y,Hotel New York,N,,N,Spain,8,Family,M,35,F,32,M,5,M,2,,,,Non-thrill rides,,Parades and fireworks,Meeting characters,Overall atmosphere,Definitely,Y,,,,,
4/21/2011,10:45:00,48,,Y,N,,,5+,,UK,3,Family,M,53,F,11,F,10,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,Y,,45,45,
4/21/2011,11:13:00,50,,N,N,,N,1,,Australia,3,Family,M,55,F,51,M,11,,,,,Thrill rides,Non-thrill rides,,,,,Not really,N,,,,,
4/21/2011,12:20:00,52,,N,N,,N,1,,Spain,4,Family,M,42,F,42,F,7,M,6,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,None,N,,,,,
4/21/2011,,53,,N,Y,Cheyenne,N,1,,Belgium,4,Family,F,9,F,38,M,10,M,38,,,,,,,,,None,N,,,,,
4/21/2011,12:15:00,54,,N,N,,N,5+,Y,France,5,Friends,M,18,M,18,M,17,M,19,M,17,Thrill rides,,,,,,Somewhat,N,Y,Space Mountain,30,10,
4/21/2011,12:20:00,55,,Y,N,,N,5+,Y,France,4,Family,F,39,F,60,F,10,F,8,,,,,,,,Overall atmosphere,None,N,Y,Space Mountain,60,30,
4/21/2011,12:40:00,56,,N,Y,Cheyenne,Y,'2-4,,Germany,3,Family,F,44,M,59,F,17,,,,,Thrill rides,,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Definitely,N,,,,,
4/21/2011,12:55:00,57,,Y,N,,N,5+,Y,France,2,Family,F,26,F,21,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,None,N,Y,Rock 'n Rollercoaster,20,20,
4/21/2011,12:45:00,58,,N,N,,,'2-4,,UK,3,Family,M,44,F,45,F,8,,,,,Thrill rides,Non-thrill rides,,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,Y,Princesses,,30,
4/21/2011,12:10:00,60,,N,N,,N,5+,,France,3,Family,F,43,M,13,F,8,,,,,,Non-thrill rides,,Parades and fireworks,,Overall atmosphere,Somewhat,Y,Y,"Pirates, Buzz",40,30,
4/21/2011,12:30:00,61,,N,N,,N,'2-4,N,Ireland,5,Family,M,47,F,46,M,10,M,8,F,5,Thrill rides,Non-thrill rides,,Parades and fireworks,,,Not really,N,,,,,
4/21/2011,12:40:00,62,,Y,N,,Y,'2-4,Y,France,4,Family,F,28,F,25,F,3,M,29,,,Thrill rides,,Indoor shows,,Meeting characters,,Not really,N,,,,,
4/21/2011,12:30:00,63,,N,N,,N,'2-4,N,France,3,Family,M,35,F,30,M,10,,,,,Thrill rides,Non-thrill rides,,,,Overall atmosphere,Not really,N,Y,Space Mountain,30,15,
4/21/2011,12:12:00,64,,Y,N,,N,5+,Y,France,5,Family,F,40,M,41,F,18,F,15,M,12,Thrill rides,,Indoor shows,Parades and fireworks,,Overall atmosphere,Somewhat,N,Y,Space Mountain,60,60,
4/21/2011,12:15:00,65,,Y,N,,N,5+,Y,France,3,Family,F,38,M,43,F,7,,,,,,Non-thrill rides,Indoor shows,,Meeting characters,Overall atmosphere,Not really,N,Y,Buzz,30,30,
4/21/2011,12:10:00,68,,N,Y,Newport Bay,Y,1,N,Denmark,5,Family,M,32,F,7,M,9,M,29,M,18,Thrill rides,,,,,Overall atmosphere,Not really,Y,Y,,70,30,
4/21/2011,12:00:00,69,,N,Y,Disneyland Hotel,Y,1,,UK,5,Family,M,40,F,39,F,7,F,7,F,3,,Non-thrill rides,,,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/21/2011,12:20:00,69,,N,Y,Newport Bay,N,'2-4,Y,France,4,Family,M,40,F,40,M,12,M,9,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/21/2011,12:10:00,70,,N,Y,Davy Crockett Ranch,N,'2-4,Y,Belgium,4,Family,M,35,F,33,F,4,F,6,M,5,,Non-thrill rides,,,Meeting characters,Overall atmosphere,None,N,,,,,
4/21/2011,12:00:00,71,,N,N,,N,1,N,Spain,4,Family,F,32,M,34,M,6,M,3,,,,,,,,Overall atmosphere,Somewhat,N,N,,30,20,
4/21/2011,12:30:00,72,,Y,N,,N,'2-4,Y,France,15,Friends,F,45,M,48,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/21/2011,12:25:00,73,,N,N,,Y,'2-4,N,France,5,Family,F,40,F,17,F,13,M,43,M,12,Thrill rides,,Indoor shows,Parades and fireworks,,,Not really,Y,,,,,
4/21/2011,11:50:00,74,,N,N,,N,1,N,Greece,3,Family,M,,F,,F,,,,,,,Non-thrill rides,,Parades and fireworks,,,Not really,N,,,,,
4/21/2011,11:20:00,76,,N,N,,N,1,,USA,2,Friends,M,21,,,,,,,,,Thrill rides,,,Parades and fireworks,,Overall atmosphere,Somewhat,N,Y,Pirates,60,30,
4/21/2011,12:00:00,78,,N,Y,Sequoia Lodge,N,1,,UK,3,Family,M,47,F,41,F,10,,,,,Thrill rides,,,Parades and fireworks,,,,N,,,,,
4/21/2011,11:40:00,79,,Y,N,,N,5+,Y,France,2,Family,F,26,M,31,,,,,,,Thrill rides,,,,,,Not really,N,Y,Tower of Terror,50,50,
4/21/2011,11:20:00,80,,N,Y,Sequoia Lodge,Y,1,,France,3,Family,F,36,M,38,M,6,,,,,Thrill rides,,,Parades and fireworks,Meeting characters,,Not really,N,,,,,
4/21/2011,,81,,Y,N,,,'2-4,N,Portugal,5,Family,M,49,F,39,F,19,F,14,M,3,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,N,,,,,
4/21/2011,12:10:00,82,,Y,N,,,5+,Y,France,4,Family,F,55,F,35,F,23,F,9,,,,Non-thrill rides,Indoor shows,,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/21/2011,11:50:00,83,,Y,N,,,'2-4,Y,UK,3,Family,M,37,F,40,M,5,,,,,,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,N,,,,,
4/21/2011,11:45:00,84,,Y,N,,N,5+,,France,1,Family,M,22,,,,,,,,,Thrill rides,,,,,Overall atmosphere,Somewhat,N,,,,,
4/21/2011,11:45:00,85,,N,Y,,N,1,N,UK,5,Family,M,9,F,10,F,7,F,46,F,40,Thrill rides,Non-thrill rides,,Parades and fireworks,Meeting characters,,Not really,N,Y,Haunted House,60,45,
4/21/2011,11:20:00,86,,Y,N,,,1,N,Romania,2,Couple,F,25,M,23,,,,,,,,,Indoor shows,Parades and fireworks,,,Not really,N,N,,,100,
4/21/2011,11:45:00,88,,N,N,,N,5+,Y,France,2,Couple,M,24,F,34,,,,,,,Thrill rides,Non-thrill rides,,,,,,N,Y,Space Mountain,30,20,
4/21/2011,12:00:00,89,,Y,N,,N,5+,Y,,5,Family,M,40,M,29,F,33,F,28,,,Thrill rides,Non-thrill rides,,,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/21/2011,12:30:00,90,,N,N,,N,1,,Portugal,4,Family,M,50,F,50,F,21,F,18,,,Thrill rides,,,Parades and fireworks,Meeting characters,Overall atmosphere,None,N,,,,,
4/21/2011,11:50:00,93,,Y,N,,Y,1,,Russia,5,Family,F,22,F,28,F,45,F,3,M,3,,,,,Meeting characters,,Somewhat,Y,Y,,45,40,
4/21/2011,12:00:00,93,,Y,Y,Davy Crockett Ranch,N,'2-4,N,Denmark,5,Family,M,37,F,33,F,14,F,7,F,4,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Definitely,N,Y,,50,25,
4/21/2011,11:40:00,95,,N,Y,Santa Fe,N,'2-4,Y,UK,4,Family,M,45,F,41,F,12,M,7,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/21/2011,11:40:00,96,,N,N,,N,1,N,Spain,2,Couple,F,39,M,24,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,None,N,,,,,
4/21/2011,12:40:00,97,,Y,N,,,5+,,France,3,Family,F,43,M,16,M,9,,,,,Thrill rides,Non-thrill rides,Indoor shows,,,Overall atmosphere,Not really,N,Y,"Space Mountain, Crush",60,30,
4/21/2011,13:50:00,98,,N,N,,N,'2-4,N,France,2,Couple,M,27,F,29,,,,,,,Thrill rides,,,,,,Not really,N,Y,Belle a sensacion?,40,75,
4/21/2011,11:50:00,98,,Y,N,,N,'2-4,Y,France,6,Family,F,14,F,14,F,14,M,15,M,44,Thrill rides,,,,,,None,N,,,,,
4/21/2011,12:00:00,100,,Y,N,,N,'2-4,Y,France,3,Family,F,47,F,7,M,16,,,,,Thrill rides,Non-thrill rides,,,Meeting characters,,Not really,N,,,,,
4/21/2011,10:07:00,211,,N,N,,N,'2-4,N,Netherlands,2,Family,F,23,F,32,,,,,,,Thrill rides,,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/22/2011,11:52:00,33,,N,Y,Newport,Y,'2-4,N,Spain,4,Family,F,48,M,50,F,12,F,7,,,Thrill Rides,,,Parades and Fireworks,Meeting Characters,Overall atmosphere,Somewhat,N,N,,10,10,
4/22/2011,12:00:00,38,,N,Y,Newport,,5+,Y,,5,Family,M,39,F,36,F,7,M,5,M,5,,,,Parades and Fireworks,,,Not really,Y,,,,,
4/22/2011,11:45:00,39,,N,Y,Newport,N,'2-4,,England,5,Family,M,37,F,37,F,7,F,4,M,2,Thrill Rides,,,Parades and Fireworks,Meeting Characters,,Somewhat,Y,,,,,
4/22/2011,12:00:00,41,,Y,Y,Newport,N,'2-4,N,,4,Family,F,27,M,28,F,5,M,5,,,Thrill Rides,,,Parades and Fireworks,Meeting Characters,,,,,,40,,
4/22/2011,,59,,N,N,,N,'2-4,Y,France,5,Family,F,12,F,15,F,9,M,32,M,45,Thrill Rides,,,,,,Not really,,,,,,
4/22/2011,10:00:00,87,,N,Y,Newport,N,'2-4,Y,Belgium,8,Family,M,35,F,36,M,56,F,56,,,Thrill Rides,,Indoor Shows,Parades and Fireworks,Meeting Characters,,Somewhat,N,Y,Nemo,60,45,
4/22/2011,10:00:00,93,,Y,N,,N,'2-4,Y,France,4,Family,M,40,F,40,F,15,M,13,,,Thrill Rides,Non-thrill rides,,,,Overall atmosphere,None,N,,,,,
4/22/2011,10:00:00,99,,N,Y,Cheyenne,,1,,Wales,3,Family,F,37,F,9,F,6,,,,,,Non-thrill rides,,Parades and Fireworks,Meeting Characters,Overall atmosphere,Somewhat,N,Y,Stunt Show,60,40,
4/22/2011,9:40:00,101,,N,N,,N,5+,Y,France,2,Couple,M,22,F,28,,,,,,,Thrill Rides,Non-thrill rides,,Parades and Fireworks,,,Somewhat,N,,,,,
4/22/2011,9:38:00,103,,N,N,,Y,1,,Italy,3,Family,F,42,M,41,F,8,,,,,Thrill Rides,,Indoor Shows,,,,None,N,,,,,
4/22/2011,9:45:00,104,,N,N,,Y,'2-4,Y,France,4,Friends,M,41,F,43,M,13,F,10,,,Thrill Rides,non-thrill rides,,Parades and Fireworks,,Overall atmosphere,Somewhat,N,,,,,
4/22/2011,9:15:00,105,,N,Y,Cheyenne,Y,1,,France,4,Family,F,43,F,14,F,11,F,11,,,,Non-thrill rides,,Parades and Fireworks,,Overall atmosphere,None,Y,,,,,
4/22/2011,9:25:00,106,,N,Y,Davy Crockett,Y,'2-4,Y,France,4,Family,M,34,F,34,F,8,F,5,,,,non-thrill rides,,,,,Somewhat,Y,,,,,
4/22/2011,9:35:00,107,,N,N,,N,1,N,Spain,2,Couple,M,22,F,20,,,,,,,Thrill Rides,non-thrill rides,Indoor Shows,Parades and Fireworks,Meeting Characters,Overall atmosphere,None,N,,,,,
4/22/2011,,107,,N,Y,New York,N,'2-4,N,Spain,4,Family,M,35,F,33,M,5,M,2,,,,Non-thrill rides,,Parades and Fireworks,Meeting Characters,,Somewhat,Y,Y,"Pirates, Peter Pan, Pinocchio",20,15,
4/22/2011,9:35:00,109,,N,N,,N,'2-4,,Malasia,5,Family,M,41,F,39,M,14,M,7,F,12,Thrill Rides,Non-thrill rides,Indoor Shows,Parades and Fireworks,Meeting Characters,Overall atmosphere,Not really,N,N,,,,
4/22/2011,,110,,Y,N,,N,5+,Y,France,4,Family,M,44,F,38,F,8,M,5,,,,Non-thrill rides,,,,,Somewhat,N,Y,"Peter Pan, Pirates",30,15,
4/22/2011,9:45:00,111,,Y,N,,Y,'2-4,Y,Latvia,4,Family,M,44,F,40,M,9,F,15,,,,,Indoor Shows,,,,Not really,N,Y,,,,
4/22/2011,9:40:00,112,,Y,N,,N,5+,Y,Belgium,4,Family,M,43,F,43,F,18,F,12,,,,,,,,Overall atmosphere,Not really,N,N,,,,
4/22/2011,9:26:00,113,,N,Y,Hotel Santa Fe,Y,'2-4,Y,France,4,Family,F,39,M,38,F,13,M,8,,,Thrill rides,Non-thrill rides,Indoor shows,,,Overall atmosphere,Not really,N,,,,,
4/22/2011,9:45:00,116,,Y,Y,,,,N,Algeria,4,Family,M,44,F,40,M,7,M,3,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and Fireworks,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/22/2011,9:50:00,117,,N,N,,N,5+,Y,France,4,Family,F,41,M,47,F,17,M,11,,,Thrill rides,non-thrill rides,,,,overall atmosphere,None,N,,,,,
4/22/2011,9:45:00,118,,N,N,,,5+,,Turkey,2,Family,F,36,F,11,,,,,,,Thrill rides,,,,Meeting characters,Overall atmosphere,Definitely,N,,,,,
4/22/2011,9:30:00,119,,N,N,,,1,,Nigeria,4,Family,F,7,M,9,M,11,M,29,,,Thrill rides,,Indoor shows,Parades and Fireworks,,,Not really,N,Y,Parade,10,5,
4/22/2011,,120,,N,Y,Davy Crockett Ranch,N,'2-4,Y,Belgium,4,Family,M,36,F,35,M,10,F,7,,,Thrill rides,Non-thrill rides,Indoor shows,,,Overall atmosphere,Not really,N,Y,Aurepia?,20,30,
4/22/2011,,122,,N,Y,Hotel New York,N,'2-4,Y,Belgium,3,Family,F,33,M,35,M,5,,,,,,Non-thrill rides,,,,Overall atmosphere,None,N,,,,,
4/22/2011,9:30:00,124,,N,N,,N,'2-4,N,UK,4,Family,M,40,F,40,F,13,M,6,,,Thrill rides,,,,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/22/2011,9:40:00,125,,N,Y,Cheyenne,N,1,N,France,5,Family,F,33,M,5,M,5,F,33,F,30,,,,,Meeting characters,,Not really,N,,,,,
4/22/2011,9:35:00,129,,N,N,,N,1,,France,4,Family,,,,,,,,,,,Thrill rides,,,Parades and fireworks,Meeting characters,Overall atmosphere,None,N,N,,5,10,
4/22/2011,,130,,Y,N,,N,5+,,Belgium,5,Family,F,,M,,F,,F,,F,,Thrill rides,,,,,,Definitely,Y,,,,,
4/22/2011,9:45:00,131,,N,Y,Cheyenne,Y,1,N,Spain,2,Couple,F,33,M,35,,,,,,,,,,,,Overall atmosphere,None,Y,,,,,
4/22/2011,9:30:00,133,,N,Y,Davy Crockett Ranch,Y,'2-4,N,Belgium,5,Family,M,,F,,M,,M,,F,,Thrill rides,,Indoor shows,,Meeting characters,,Somewhat,Y,Y,Space Mountain,60,30,
4/22/2011,9:35:00,136,,N,N,,N,'2-4,N,France,2,Couple,M,30,F,26,,,,,,,Thrill rides,,,,,,None,N,Y,Tour Infernale,60,30,
4/22/2011,,139,,N,Y,Cheyenne,N,1,N,,2,Couple,M,25,F,24,,,,,,,Thrill rides,,,,Meeting characters,,Not really,N,,,,,
4/22/2011,9:20:00,140,,N,Y,Newport Bay,Y,'2-4,N,France,4,Family,M,44,F,44,F,11,F,5,,,,Non-thrill rides,,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/22/2011,9:40:00,142,,N,Y,Davy Crockett Ranch,N,'2-4,Y,Belgium,5,Family,M,35,F,33,M,6,M,5,F,4,,Non-thrill rides,,,Meeting characters,Overall atmosphere,None,N,N,,,30,
4/22/2011,9:19:00,144,,N,Y,Santa Fe,Y,1,,UK,5,Family,F,34,M,36,M,9,M,7,M,2,Thrill rides,,,,Meeting characters,,Not really,N,,,,,
4/22/2011,9:30:00,145,,N,Y,Newport Bay,,1,,Belgium,4,Family,F,37,F,8,M,6,,,,,Thrill rides,,Indoor shows,,Meeting characters,Overall atmosphere,Somewhat,Y,,,,,
4/22/2011,9:45:00,146,,N,Y,Santa Fe,Y,1,N,France,4,Family,M,,F,,F,,M,,,,,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,N,,30,30,
4/22/2011,11:30:00,147,,N,N,,,1,,Denmark,3,Friends,M,32,M,32,F,20,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,N,,30,15,
4/22/2011,9:35:00,148,,N,Y,Davy Crockett Ranch,N,'2-4,N,France,6,Family,M,35,F,32,M,30,F,29,M,4,,Non-thrill rides,,,,,None,N,,,,,
4/22/2011,9:20:00,149,,N,Y,Disneyland Hotel,N,5+,N,Switzerland,4,Family,M,45,F,42,F,19,F,15,,,,Non-thrill rides,,,Meeting characters,Overall atmosphere,Somewhat,Y,,,,,
4/22/2011,9:15:00,150,,N,Y,Cheyenne,N,5+,N,UK,13,Friends,M,,F,,,,,,,,,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,Y,Y,"Small World, Snow White",60,30,
4/22/2011,10:25:00,151,,N,N,,N,5+,N,Denmark,5,Family,F,19,F,15,F,45,M,23,M,48,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,,Overall atmosphere,Not really,N,Y,Pirates,60,60,
4/22/2011,10:40:00,152,,N,N,,N,5+,Y,France,7,Family,F,57,F,42,F,12,,11,M,7,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/22/2011,11:35:00,153,,N,Y,Sequoia Lodge,N,'2-4,Y,France,3,Family,F,35,M,32,F,10,,,,,Thrill rides,,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Definitely,N,N,,,30,
4/22/2011,10:15:00,153,,N,N,,N,'2-4,Y,Netherlands,4,Friends,F,,F,,F,,F,,,,Thrill rides,,,,,,None,N,,,,,
4/22/2011,10:20:00,154,,N,Y,Santa Fe,N,'2-4,Y,France,4,Family,F,31,F,33,F,5,F,5,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,None,Y,,,,,
4/22/2011,11:30:00,155,,N,N,,N,'2-4,,France,2,Friends,M,,M,,,,,,,,Thrill rides,,,,,,Not really,Y,,,,,
4/22/2011,11:40:00,156,,N,Y,Sequoia Lodge,Y,1,N,France,3,Family,F,36,M,38,M,6,,,,,Thrill rides,,,Parades and fireworks,,,Not really,Y,,,,,
4/22/2011,10:00:00,157,,N,N,,,5+,Y,France,4,Family,M,35,F,33,F,4,M,2,,,,Non-thrill rides,,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,N,N,,30,,
4/22/2011,10:30:00,159,,N,Y,Sequoia Lodge,N,1,,USA,3,Family,F,41,M,41,F,12,,,,,Thrill rides,Non-thrill rides,Indoor shows,,,Overall atmosphere,Not really,N,,,,,
4/22/2011,10:59:00,160,,Y,N,,,5+,,France,5,Friends,F,,F,,F,,M,,M,,Thrill rides,,,Parades and fireworks,,,None,N,Y,L'asnoisuer?,45,45,
4/22/2011,11:20:00,161,,Y,N,,Y,5+,Y,France,5,Family,F,41,M,45,F,15,M,13,M,8,Thrill rides,Non-thrill rides,,,,Overall atmosphere,None,N,,,,,
