Date,Time,Device Number,Hotel Guest?,AP?,On Property?,Which resort?,Meal Plan?,# Trips,Within past 5 years,Country of Residence,People in group,Relationship,Person 1 gender,person 1 age,person 2 gender,person 2 age,person 3 gender,person 3 age,person 4 gender,person 4 age,person 5 gender,person 5 age,Thrill Rides,Non-Thrill Rides,Indoor Shows,Parades and Fireworks,Meeting Characters,Overall Atmosphere,Plan for the day?,Dining reservations?,Must See attractions?,List,"Wait for ""must see""",Wait for others,
4/26/2011,10:05:00,139,,N,Y,Seuqoia,N,5+,Y,France,4,Family,M,38,F,37,F,6,F,2,,,,,Indoor shows,Parades and fireworks,Meeting characters,OVerall atmosphere,Somewhat,N,Y,Peter Pan,30,45,
4/26/2011,11:22:00,141,,N,N,,,1,,Germany,3,Family,M,,F,,M,,,,,,Thrill rides,,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,None,N,N,,15,30,
4/26/2011,9:48:00,142,,N,Y,Sequoia,N,5+,Y,France,4,Family,M,27,F,27,M,16,F,16,,,Thrill rides,,,,,,Somewhat,Y,Y,Tower of Terror,15,25,
4/26/2011,,143,,,N,,,1,,Germany,6,Family,M,47,F,46,M,27,F,22,F,12,Thrill rides,,Indoor shows,Parades and fireworks,,Overall atmosphere,None,N,Y,Western Show,30,15,
4/26/2011,9:55:00,144,Y-4/28,N,Y,Sequoia,N,'2-4,Y,UK,2,Couple,F,28,M,24,,,,,,,,,,,,Overall atmosphere,Somewhat,Y,Y,Thunder Mountain,30,20,
4/26/2011,10:15:00,144,,N,N,,,1,,UK,4,Family,F,29,M,33,M,8,F,1,,,Thrill rides,,Indoor shows,,Meeting characters,,,N,N,,15,15,
4/26/2011,10:00:00,145,,N,Y,Santa Fe,Y,1,,Spain,4,Family,M,35,F,36,F,7,F,3,,,,Non-thrill rides,,Parades and fireworks,Meeting characters,,Somewhat,Y,N,,10,10,
4/26/2011,10:50:00,149,,Y,N,,,5+,Y,Germany,3,Family,M,42,F,38,M,8,,,,,,,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Definitely,N,,,,,
4/26/2011,10:56:00,150,,N,Y,Cheyenne,Y,1,,France,4,Family,M,,F,,F,,F,,,,,,,,Meeting characters,Overall atmosphere,Somewhat,N,N,,30,30,
4/26/2011,10:05:00,151,Y-4/27,N,Y,Newport,N,1,,France,4,Family,M,42,F,40,M,11,M,7,,,,Non-thrill rides,,,Meeting characters,Overall atmosphere,Somewhat,Y,Y,"Peter Pan, Pirates",15,10,
4/26/2011,10:00:00,153,,N,N,,,5+,Y,France,4,Family,F,32,M,39,F,2,M,5,,,Thrill rides,Non-thrill rides,Indoor shows,,Meeting characters,,Somewhat,N,,,,,
4/26/2011,11:30:00,154,,N,N,,,1,,France,2,Family,F,38,F,13,,,,,,,Thrill rides,Non-thrill rides,,,,,None,N,Y,Pirates,30,30,
4/26/2011,9:30:00,155,,Y,N,,,1,,Germany,3,Family,M,47,F,45,F,8,,,,,Thrill rides,,Indoor shows,Parades and fireworks,,Overall atmosphere,Not really,N,Y,Tower of Terror,30,30,
4/26/2011,9:36:00,156,,N,Y,Santa Fe,N,1,,Romania,6,Family,F,8,F,,M,35,F,40,F,70,Thrill rides,,Indoor shows,,Meeting charactrs,Overall atmosphere,None,N,Y,,30,10,
4/26/2011,10:33:00,158,,N,N,,,'2-4,,,3,Family,M,,F,,M,,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting charactrs,Overall atmosphere,Definitely,N,Y,,10,10,
4/26/2011,11:35:00,159,,N,N,,,'2-4,N,France,3,Family,F,31,M,31,F,2,,,,,,Non-thrill rides,Indoor shows,,Meeting charactrs,,None,N,Y,Snow White,30,30,
4/26/2011,10:18:00,160,,N,,,,'2-4,Y,Spain,4,Family,M,35,F,35,F,6,F,4,,,,,,,Meeting charactrs,,Not really,Y,,,,,
4/26/2011,10:00:00,161,,N,Y,Disneyland Hotel,N,1,,France,2,Couple,M,30,F,22,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,,Overall atmosphere,None,N,N,,30,30,
4/26/2011,9:50:00,163,,N,Y,Sequoia,Y,5+,Y,France,4,Family,F,,M,,F,,M,,,,,Non-thrill rides,,,Meeting characters,Overall atmosphere,Definitely,Y,Y,Paipees,60,30,
4/26/2011,9:50:00,163,,N,Y,Sequoia,Y,5+,Y,France,4,Family,F,,M,,F,,M,,,,,Non-thrill rides,,,Meeting characters,Overall atmosphere,Definitely,Y,Y,Paipees,60,30,
4/26/2011,9:45:00,165,,Y,,,,5+,Y,France,4,Family,M,39,F,38,M,8,M,6,,,Thrill rides,,,,,Overall atmosphere,Somewhat,Y,Y,"Nemo, Hollywood, Space Mountain",60,45,
4/26/2011,9:45:00,165,,Y,N,,,5+,Y,France,4,FAmily,M,39,F,38,M,8,M,6,,,Thrill rides,,,,,Overall atmosphere,Somewhat,Y,Y,"Nemo, Hollywood, Space Mountain",60,45,
4/26/2011,9:38:00,168,,N,N,,,'2-4,Y,France,5,Family,M,25,F,26,F,34,M,7,F,,,Non-thrill rides,Indoor shows,PArades and fireworks,Meeting characters,Overall atmosphere,Somewhat,N,Y,Buzz,15,10,
4/26/2011,9:38:00,168,,N,N,,,'2-4,Y,France,5,Family,M,25,F,26,F,34,M,7,F,,,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,N,Y,"Buzz, Tower of Terror",15,10,
4/26/2011,9:50:00,169,,N,N,,,1,,France,6,FAmily,M,45,F,40,F,19,M,16,F,14,,Non-thrill rides,,,Meeting characters,,Somewhat,N,N,,,15,
4/26/2011,,171,,N,N,,,'2-4,N,France,4,FAmily,M,43,F,37,M,13,M,10,,,Thrill rides,,,,,Overall atmosphere,None,N,N,,,30,
4/26/2011,11:00:00,172,Y-?,N,Y,Davy Crockett,N,1,,Netherland,4,FAmily,F,29,M,27,F,4,M,4,,,,Non-thrill rides,,,Meeting characters,Overall atmosphere,Somewhat,N,,,,,
4/26/2011,9:38:00,177,,N,Y,Cheyenne,Y,1,,France,4,FAmily,M,47,F,45,,9,,6,,,Thrill rides,,,,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/26/2011,10:39:00,178,,N,N,,,'2-4,Y,France,5,Friends,M,55,F,54,M,40,F,40,F,16,Thrill rides,,Indoor shows,Parades and fireworks,,Overall atmosphere,Somewhat,N,Y,Space Mountain,30,30,
4/26/2011,10:53:00,179,,N,N,,,1,,France,3,Friends,F,45,F,16,F,10,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,None,N,Y,Maison poupees,,10,
4/26/2011,10:44:00,180,,N,N,,,5+,Y,France,5,FAmily,F,,F,,F,,M,,M,,,Non-thrill rides,,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,N,Y,Pirates,5,5,
4/26/2011,10:23:00,182,,N,Y,Santa Fe,N,'2-4,Y,France,4,FAmily,F,42,M,44,F,9,M,5,,,,Non-thrill rides,,,Meeting characters,Overall atmosphere,Not really,N,Y,"Cascadeurs, Buzz",20,10,
4/26/2011,11:00:00,184,,N,N,,,'2-4,Y,France,5,FAmily,F,31,M,35,M,12,M,11,F,8,Thrill rides,,,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,Y,Space Mountain,45,30,
