# Position data for device 78 on 20110427
# hhmmss.sss	hhmm	ss.sss	longitude	latitude	accuracy	session_id	leg distance	leg mps	bearing	total distance	total time	average mps
093202.617	0932	02.617	2.780316743	48.86845325	25	4753	0	0	0	0	00:00:00.000	0
093203.607	0932	03.607	2.780316743	48.86845325	25	4753	0.000	0.000	0.000	0	00:00:00.990	0.000
093204.580	0932	04.580	2.78028646	48.86835283	15	4753	11.387	11.703	3.194	11.387	00:00:01.963	5.801
093419.283	0934	19.283	2.780283299	48.86827165	25	4753	9.032	0.067	3.148	20.419	00:02:16.666	0.149
093634.363	0936	34.363	2.780071562	48.86830886	25	4753	16.055	0.119	5.506	36.474	00:04:31.746	0.134
093636.427	0936	36.427	2.780275237	48.86831437	15	4753	14.935	7.236	1.416	51.409	00:04:33.810	0.188
093739.687	0937	39.687	2.780203268	48.8683697	15	4753	8.104	0.128	6.062	59.513	00:05:37.070	0.177
093843.387	0938	43.387	2.780065415	48.86833503	25	4753	10.811	0.170	3.744	70.324	00:06:40.770	0.175
093847.377	0938	47.377	2.780223558	48.86827639	10	4753	13.296	3.332	2.706	83.62	00:06:44.760	0.207
093853.050	0938	53.050	2.780361777	48.86829156	10	4753	10.266	1.810	1.005	93.886	00:06:50.433	0.229
093949.347	0939	49.347	2.780549709	48.86820365	25	4753	16.887	0.300	2.788	110.773	00:07:46.730	0.237
094051.517	0940	51.517	2.780166278	48.86832757	15	4753	31.291	0.503	5.792	142.064	00:08:48.900	0.269
094154.267	0941	54.267	2.780219085	48.86837868	25	4753	6.876	0.110	0.177	148.94	00:09:51.650	0.252
094157.280	0941	57.280	2.780206618	48.86827434	15	4753	11.640	3.863	3.162	160.58	00:09:54.663	0.270
094359.343	0943	59.343	2.780203394	48.86846305	15	4753	20.989	0.172	6.280	181.569	00:11:56.726	0.253
094402.317	0944	02.317	2.780215126	48.86837123	15	4753	10.248	3.446	3.120	191.817	00:11:59.700	0.267
094503.623	0945	03.623	2.780301163	48.86841647	15	4753	8.065	0.132	0.318	199.882	00:13:01.006	0.256
094510.063	0945	10.063	2.780251125	48.8683707	5	4753	6.273	0.974	3.328	206.155	00:13:07.446	0.262
094607.363	0946	07.363	2.78010436	48.86848075	15	4753	16.292	0.284	6.056	222.447	00:14:04.746	0.263
094610.370	0946	10.370	2.780184332	48.8683775	10	4753	12.892	4.287	3.009	235.339	00:14:07.753	0.278
094716.437	0947	16.437	2.780303454	48.86835432	15	4753	9.100	0.138	2.415	244.439	00:15:13.820	0.267
094725.067	0947	25.067	2.780242311	48.86827335	15	4753	10.058	1.165	3.271	254.497	00:15:22.450	0.276
094749.003	0947	49.003	2.780237558	48.86833121	10	4753	6.445	0.269	6.269	260.942	00:15:46.386	0.276
094820.047	0948	20.047	2.780260671	48.86831543	5	4753	2.439	0.079	2.894	263.381	00:16:17.430	0.269
094823.123	0948	23.123	2.78027048	48.86831346	10	4753	0.751	0.244	2.431	264.132	00:16:20.506	0.269
094833.090	0948	33.090	2.78027536	48.86825949	5	4753	6.013	0.603	3.126	270.145	00:16:30.473	0.273
094838.040	0948	38.040	2.780248492	48.86819989	5	4753	6.915	1.397	3.219	277.06	00:16:35.423	0.278
094842.023	0948	42.023	2.780226915	48.86814729	10	4753	6.060	1.521	3.212	283.12	00:16:39.406	0.283
094847.037	0948	47.037	2.780187756	48.86808651	5	4753	7.343	1.464	3.252	290.463	00:16:44.420	0.289
094851.040	0948	51.040	2.780145154	48.86803792	10	4753	6.241	1.559	3.292	296.704	00:16:48.423	0.294
