# Position data for device 71 on 20110425
# hhmmss.sss	hhmm	ss.sss	longitude	latitude	accuracy	session_id	leg distance	leg mps	bearing	total distance	total time	average mps
092656.370	0926	56.370	2.779267701	48.87046862	100	3862	0	0	0	0	00:00:00.000	0
092657.370	0926	57.370	2.779090421	48.8705017	25	3862	13.499	13.499	5.530	13.499	00:00:01.000	13.499
092658.397	0926	58.397	2.779090421	48.8705017	15	3862	0.000	0.000	0.000	13.499	00:00:02.027	6.660
092852.130	0928	52.130	2.779142473	48.87047928	25	3862	4.556	0.040	2.756	18.055	00:01:55.760	0.156
092857.013	0928	57.013	2.779022442	48.87052595	15	3862	10.211	2.091	5.860	28.266	00:02:00.643	0.234
093040.240	0930	40.240	2.77869601	48.87055375	10	3862	24.114	0.234	5.165	52.38	00:03:43.870	0.234
093228.087	0932	28.087	2.77909037	48.87057544	10	3862	28.992	0.269	1.266	81.372	00:05:31.717	0.245
093321.677	0933	21.677	2.778718652	48.87054738	25	3862	27.411	0.511	4.305	108.783	00:06:25.307	0.282
093358.050	0933	58.050	2.778868729	48.87052856	10	3862	11.192	0.308	2.193	119.975	00:07:01.680	0.285
093405.933	0934	05.933	2.778910706	48.8705056	10	3862	3.997	0.507	2.832	123.972	00:07:09.563	0.289
093433.957	0934	33.957	2.778646231	48.87065942	10	3862	25.848	0.922	5.991	149.82	00:07:37.587	0.327
093437.933	0934	37.933	2.778700016	48.87064157	10	3862	4.412	1.110	2.656	154.232	00:07:41.563	0.334
093441	0934	41	2.778752359	48.87062281	10	3862	4.366	1.424	2.687	158.598	00:07:44.630	0.341
093509.973	0935	09.973	2.778903157	48.87060075	5	3862	11.317	0.391	2.267	169.915	00:08:13.603	0.344
093545.933	0935	45.933	2.778916521	48.87069655	10	3862	10.700	0.298	0.024	180.615	00:08:49.563	0.341
093621.923	0936	21.923	2.778814348	48.87082279	10	3862	15.911	0.442	6.142	196.526	00:09:25.553	0.347
093625.897	0936	25.897	2.778761643	48.87085237	10	3862	5.073	1.277	5.980	201.599	00:09:29.527	0.354
093628.907	0936	28.907	2.77871931	48.87087931	10	3862	4.312	1.433	6.014	205.911	00:09:32.537	0.360
093631.983	0936	31.983	2.778671019	48.87091132	5	3862	5.019	1.632	6.025	210.93	00:09:35.613	0.366
093636.943	0936	36.943	2.778551931	48.87097369	5	3862	11.146	2.247	5.960	222.076	00:09:40.573	0.383
093639.930	0936	39.930	2.778499924	48.87101303	10	3862	5.802	1.942	6.055	227.878	00:09:43.560	0.390
093642.930	0936	42.930	2.778460426	48.8710525	5	3862	5.258	1.753	6.109	233.136	00:09:46.560	0.397
093645.933	0936	45.933	2.778434988	48.87109361	10	3862	4.937	1.644	6.175	238.073	00:09:49.563	0.404
093830.103	0938	30.103	2.777843087	48.87184078	25	3862	93.733	0.900	6.144	331.806	00:11:33.733	0.478
093838.913	0938	38.913	2.777859491	48.871933	15	3862	10.327	1.172	0.031	342.133	00:11:42.543	0.487
093912.937	0939	12.937	2.776739445	48.87210996	25	3862	84.382	2.480	5.442	426.515	00:12:16.567	0.579
094028.417	0940	28.417	2.776620754	48.87195991	15	3862	18.818	0.249	3.280	445.333	00:13:32.047	0.548
094028.960	0940	28.960	2.776659631	48.8720527	15	3862	10.706	19.716	0.074	456.039	00:13:32.590	0.561
094140.917	0941	40.917	2.776710592	48.87209702	10	3862	6.183	0.086	0.200	462.222	00:14:44.547	0.523
094252.953	0942	52.953	2.776638329	48.87205739	5	3862	6.889	0.096	3.453	469.111	00:15:56.583	0.490
094307.947	0943	07.947	2.776656804	48.87206338	10	3862	1.509	0.101	0.498	470.62	00:16:11.577	0.484
094454.133	0944	54.133	2.776613394	48.87204884	15	3862	3.568	0.034	3.626	474.188	00:17:57.763	0.440
094533.967	0945	33.967	2.776630413	48.87208456	10	3862	4.164	0.105	0.084	478.352	00:18:37.597	0.428
