# Position data for device 58 on 20110428
# hhmmss.sss	hhmm	ss.sss	longitude	latitude	accuracy	session_id	leg distance	leg mps	bearing	total distance	total time	average mps
000003.970	0000	03.970	2.616910397	48.79106706	25	4767	0	0	0	0	00:00:00.000	0
000206.207	0002	06.207	2.615762345	48.79203119	25	4767	136.361	1.116	6.168	136.361	00:02:02.237	1.116
000421.717	0004	21.717	2.617988706	48.79250832	200	4767	171.764	1.268	0.428	308.125	00:04:17.747	1.195
000634.017	0006	34.017	2.617844941	48.79262779	100	4767	16.965	0.128	6.166	325.09	00:06:30.047	0.833
001114.470	0011	14.470	2.623334176	48.79015577	100	4767	487.670	1.739	2.933	812.76	00:11:10.500	1.212
001323.730	0013	23.730	2.619967521	48.79226718	50	4767	340.836	2.637	6.129	1153.596	00:13:19.760	1.442
