# Position data for device 235 on 20110428
# hhmmss.sss	hhmm	ss.sss	longitude	latitude	accuracy	session_id	leg distance	leg mps	bearing	total distance	total time	average mps
105420.450	1054	20.450	2.778940344	48.87064221	50	5443	0	0	0	0	00:00:00.000	0
105421.370	1054	21.370	2.778940344	48.87064221	0	5443	0.000	0.000	0.000	0	00:00:00.920	0.000
105422.383	1054	22.383	2.778940344	48.87064221	0	5443	0.000	0.000	0.000	0	00:00:01.933	0.000
105617.657	1056	17.657	2.778614449	48.87147066	25	5443	95.182	0.826	6.214	95.182	00:01:57.207	0.812
105654.247	1056	54.247	2.778142153	48.87159309	15	5443	37.183	1.016	5.687	132.365	00:02:33.797	0.861
105658.500	1056	58.500	2.778083873	48.8715749	15	5443	4.725	1.111	3.655	137.09	00:02:38.050	0.867
105729.030	1057	29.030	2.777860257	48.87165017	15	5443	18.397	0.603	5.801	155.487	00:03:08.580	0.825
105731.950	1057	31.950	2.777822502	48.87169103	15	5443	5.320	1.822	6.122	160.807	00:03:11.500	0.840
105738.240	1057	38.240	2.777790541	48.87172942	10	5443	4.870	0.774	6.138	165.677	00:03:17.790	0.838
105927.370	1059	27.370	2.776856205	48.87276197	15	5443	133.691	1.225	6.124	299.368	00:05:06.920	0.975
105931.937	1059	31.937	2.777020702	48.87273402	15	5443	12.445	2.725	2.335	311.813	00:05:11.487	1.001
105934.940	1059	34.940	2.777164539	48.87270656	15	5443	10.971	3.653	2.394	322.784	00:05:14.490	1.026
110124.267	1101	24.267	2.77824229	48.87358873	25	5443	125.937	1.152	0.214	448.721	00:07:03.817	1.059
110126.223	1101	26.223	2.778321435	48.87356769	15	5443	6.252	3.196	2.552	454.973	00:07:05.773	1.069
110127.973	1101	27.973	2.778399113	48.87354601	15	5443	6.180	3.531	2.574	461.153	00:07:07.523	1.079
110130.023	1101	30.023	2.77847843	48.87352068	15	5443	6.457	3.150	2.633	467.61	00:07:09.573	1.089
110132.033	1101	32.033	2.778536997	48.87349354	15	5443	5.246	2.610	2.775	472.856	00:07:11.583	1.096
110312.380	1103	12.380	2.77791863	48.87344419	25	5443	45.631	0.455	4.290	518.487	00:08:51.930	0.975
110459.267	1104	59.267	2.777329495	48.87309884	25	5443	57.775	0.541	3.436	576.262	00:10:38.817	0.902
110652.373	1106	52.373	2.776788257	48.87370616	10	5443	78.323	0.692	6.126	654.585	00:12:31.923	0.871
110928.377	1109	28.377	2.77720868	48.87467127	50	5443	111.669	0.716	0.078	766.254	00:15:07.927	0.844
111109.477	1111	09.477	2.776748517	48.87427507	25	5443	55.480	0.549	3.346	821.734	00:16:49.027	0.814
111120.087	1111	20.087	2.776725664	48.87417539	10	5443	11.212	1.057	3.183	832.946	00:16:59.637	0.817
111258.383	1112	58.383	2.776287838	48.87457602	10	5443	54.901	0.559	6.090	887.847	00:18:37.933	0.794
111456.297	1114	56.297	2.776393903	48.87454986	25	5443	8.297	0.070	2.514	896.144	00:20:35.847	0.725
111642.660	1116	42.660	2.776930916	48.87452378	25	5443	39.446	0.371	1.836	935.59	00:22:22.210	0.697
111644.643	1116	44.643	2.776793471	48.87456704	25	5443	11.159	5.627	5.766	946.749	00:22:24.193	0.704
111645.693	1116	45.693	2.776602399	48.87465057	10	5443	16.800	16.000	5.894	963.549	00:22:25.243	0.716
111650.060	1116	50.060	2.776442793	48.87461388	10	5443	12.384	2.836	3.803	975.933	00:22:29.610	0.723
111830.243	1118	30.243	2.77611327	48.87474581	25	5443	28.249	0.282	5.862	1004.182	00:24:09.793	0.693
111835.283	1118	35.283	2.776235614	48.87468567	10	5443	11.183	2.219	2.792	1015.365	00:24:14.833	0.698
112020.293	1120	20.293	2.77649162	48.87459815	25	5443	21.130	0.201	2.659	1036.495	00:25:59.843	0.664
112027.037	1120	27.037	2.776393084	48.87467103	10	5443	10.854	1.609	6.046	1047.349	00:26:06.587	0.669
112210.357	1122	10.357	2.775707591	48.8753251	25	5443	88.394	0.856	6.097	1135.743	00:27:49.907	0.680
112213.013	1122	13.013	2.775843378	48.87526325	15	5443	12.094	4.553	2.766	1147.837	00:27:52.563	0.686
112217.070	1122	17.070	2.775984684	48.87532549	15	5443	12.453	3.070	0.387	1160.29	00:27:56.620	0.692
112400.293	1124	00.293	2.775547841	48.8748355	25	5443	63.197	0.612	3.300	1223.487	00:29:39.843	0.687
113622.103	1136	22.103	2.775686148	48.87460188	100	5443	27.888	0.038	3.036	1251.375	00:42:01.653	0.496
113631.050	1136	31.050	2.775729431	48.87484038	15	5443	26.714	2.986	0.033	1278.089	00:42:10.600	0.505
113816.340	1138	16.340	2.775660072	48.87476422	10	5443	9.877	0.094	3.303	1287.966	00:43:55.890	0.489
114003.440	1140	03.440	2.775528127	48.87476702	15	5443	9.671	0.090	4.830	1297.637	00:45:42.990	0.473
114010.077	1140	10.077	2.775597148	48.87468721	10	5443	10.215	1.539	2.988	1307.852	00:45:49.627	0.476
114148.533	1141	48.533	2.775773517	48.87478087	15	5443	16.596	0.169	0.325	1324.448	00:47:28.083	0.465
114152.333	1141	52.333	2.775625319	48.87472442	10	5443	12.541	3.300	3.581	1336.989	00:47:31.883	0.469
114337.543	1143	37.543	2.774556435	48.87535523	15	5443	105.134	0.999	5.988	1442.123	00:49:17.093	0.488
114522.333	1145	22.333	2.774666842	48.87533614	25	5443	8.362	0.080	2.337	1450.485	00:51:01.883	0.474
114707.337	1147	07.337	2.774435986	48.87519235	25	5443	23.275	0.222	3.422	1473.76	00:52:46.887	0.465
114852.610	1148	52.610	2.774637139	48.87531749	15	5443	20.269	0.193	0.281	1494.029	00:54:32.160	0.457
114857.590	1148	57.590	2.774780957	48.87534345	10	5443	10.924	2.194	0.783	1504.953	00:54:37.140	0.459
115038.427	1150	38.427	2.774484119	48.8752562	25	5443	23.812	0.236	3.690	1528.765	00:56:17.977	0.453
115255.410	1152	55.410	2.773612712	48.87514983	50	5443	64.922	0.474	4.115	1593.687	00:58:34.960	0.453
115258.417	1152	58.417	2.774313169	48.87541656	50	5443	59.270	19.711	0.441	1652.957	00:58:37.967	0.470
115259.423	1152	59.423	2.774591271	48.87551322	50	5443	23.035	22.898	0.478	1675.992	00:58:38.973	0.476
115303.420	1153	03.420	2.77489424	48.87590652	25	5443	49.050	12.272	0.138	1725.042	00:58:42.970	0.490
115304.453	1153	04.453	2.774939738	48.87606956	25	5443	18.437	17.848	0.050	1743.479	00:58:44.003	0.495
115305.403	1153	05.403	2.774972621	48.87623757	15	5443	18.840	19.832	0.035	1762.319	00:58:44.953	0.500
115437.780	1154	37.780	2.77517602	48.87565058	15	5443	66.963	0.725	3.079	1829.282	01:00:17.330	0.506
115439.703	1154	39.703	2.774982444	48.87559526	15	5443	15.458	8.038	3.704	1844.74	01:00:19.253	0.510
115620.077	1156	20.077	2.774840476	48.87532573	15	5443	31.729	0.316	3.236	1876.469	01:01:59.627	0.504
115805.310	1158	05.310	2.774595147	48.87511591	15	5443	29.454	0.280	3.348	1905.923	01:03:44.860	0.498
115948.420	1159	48.420	2.775443667	48.87472259	15	5443	76.009	0.737	2.773	1981.932	01:05:27.970	0.505
115953.377	1159	53.377	2.775528841	48.87468415	15	5443	7.564	1.526	2.764	1989.496	01:05:32.927	0.506
120133.770	1201	33.770	2.776444732	48.87438577	15	5443	74.853	0.746	2.640	2064.349	01:07:13.320	0.512
120317.423	1203	17.423	2.777333214	48.87366081	25	5443	103.621	1.000	2.927	2167.97	01:08:56.973	0.524
