# Position data for device 156 on 20110426
# hhmmss.sss	hhmm	ss.sss	longitude	latitude	accuracy	session_id	leg distance	leg mps	bearing	total distance	total time	average mps
091603.737	0916	03.737	2.778964088	48.87047339	25	4209	0	0	0	0	00:00:00.000	0
091604.683	0916	04.683	2.778964088	48.87047339	25	4209	0.000	0.000	0.000	0	00:00:00.946	0.000
091750.487	0917	50.487	2.778884931	48.87056466	25	4209	11.691	0.110	6.133	11.691	00:01:46.750	0.110
091935.753	0919	35.753	2.778884651	48.87064823	15	4209	9.295	0.088	6.283	20.986	00:03:32.016	0.099
092123.573	0921	23.573	2.778807419	48.8705402	15	4209	13.281	0.123	3.266	34.267	00:05:19.836	0.107
092311.367	0923	11.367	2.779234766	48.8707773	15	4209	40.934	0.380	0.306	75.201	00:07:07.630	0.176
092315.137	0923	15.137	2.779146719	48.87069172	10	4209	11.498	3.050	3.320	86.699	00:07:11.400	0.201
092321.160	0923	21.160	2.779088627	48.87060615	10	4209	10.425	1.731	3.260	97.124	00:07:17.423	0.222
092459.457	0924	59.457	2.778783955	48.87042643	15	4209	29.962	0.305	3.430	127.086	00:08:55.720	0.237
092644.493	0926	44.493	2.778919797	48.87041727	25	4209	10.004	0.095	1.939	137.09	00:10:40.756	0.214
092830.397	0928	30.397	2.778802579	48.87050612	15	4209	13.092	0.124	6.056	150.182	00:12:26.660	0.201
093017.433	0930	17.433	2.779252197	48.87042392	10	4209	34.185	0.319	2.379	184.367	00:14:13.696	0.216
093205.387	0932	05.387	2.778298308	48.87027026	15	4209	71.943	0.666	3.967	256.31	00:16:01.650	0.267
093208.090	0932	08.090	2.778421539	48.87023084	15	4209	10.036	3.713	2.642	266.346	00:16:04.353	0.276
093211.133	0932	11.133	2.778563208	48.87022441	15	4209	10.404	3.419	1.825	276.75	00:16:07.396	0.286
093214.153	0932	14.153	2.778718209	48.8702594	10	4209	12.004	3.975	0.659	288.754	00:16:10.416	0.298
093351.473	0933	51.473	2.778399888	48.87038699	25	4209	27.299	0.281	5.872	316.053	00:17:47.736	0.296
093353.467	0933	53.467	2.778609397	48.87039492	15	4209	15.374	7.710	1.358	331.427	00:17:49.730	0.310
093357.110	0933	57.110	2.778747816	48.87036656	15	4209	10.620	2.915	2.435	342.047	00:17:53.373	0.319
093401.137	0934	01.137	2.778886156	48.87037715	10	4209	10.203	2.534	1.158	352.25	00:17:57.400	0.327
093539.483	0935	39.483	2.778963569	48.87035787	15	4209	6.063	0.062	2.530	358.313	00:19:35.746	0.305
093549.170	0935	49.170	2.779041867	48.8703997	5	4209	7.386	0.762	0.316	365.699	00:19:45.433	0.308
