# Position data for device 105 on 20110423
# hhmmss.sss	hhmm	ss.sss	longitude	latitude	accuracy	session_id	leg distance	leg mps	bearing	total distance	total time	average mps
105006.343	1050	06.343	2.780025683	48.86949487	25	3323	0	0	0	0	00:00:00.000	0
105042.613	1050	42.613	2.780029843	48.8693807	10	3323	12.701	0.350	3.135	12.701	00:00:36.270	0.350
105047.343	1050	47.343	2.780088027	48.86937965	10	3323	4.264	0.901	1.674	16.965	00:00:41.000	0.414
105052.257	1050	52.257	2.78015501	48.86937753	10	3323	4.913	1.000	1.751	21.878	00:00:45.914	0.476
105118.940	1051	18.940	2.78057564	48.86929701	10	3323	32.092	1.203	2.405	53.97	00:01:12.597	0.743
105122.700	1051	22.700	2.780631689	48.86928789	10	3323	4.230	1.125	2.323	58.2	00:01:16.357	0.762
105124.313	1051	24.313	2.780689664	48.86927654	10	3323	4.431	2.747	2.416	62.631	00:01:17.970	0.803
105127.277	1051	27.277	2.780746354	48.86926644	10	3323	4.303	1.452	2.369	66.934	00:01:20.934	0.827
105154.657	1051	54.657	2.780805289	48.86907897	10	3323	21.293	0.778	3.087	88.227	00:01:48.314	0.815
105158.323	1051	58.323	2.78079428	48.86904124	10	3323	4.273	1.166	3.192	92.5	00:01:51.980	0.826
105201.337	1052	01.337	2.780790395	48.86899568	10	3323	5.075	1.684	3.156	97.575	00:01:54.994	0.849
105204.330	1052	04.330	2.780792756	48.86894207	10	3323	5.965	1.993	3.134	103.54	00:01:57.987	0.878
105216.520	1052	16.520	2.780765215	48.8687661	10	3323	19.675	1.614	3.169	123.215	00:02:10.177	0.947
105217.287	1052	17.287	2.780761201	48.86875356	5	3323	1.425	1.858	3.197	124.64	00:02:10.944	0.952
105220.270	1052	20.270	2.780752585	48.86871696	5	3323	4.119	1.381	3.182	128.759	00:02:13.927	0.961
105224.323	1052	24.323	2.780748911	48.86867602	5	3323	4.561	1.125	3.157	133.32	00:02:17.980	0.966
105252.323	1052	52.323	2.78064418	48.86847645	5	3323	23.485	0.839	3.232	156.805	00:02:45.980	0.945
105257.330	1052	57.330	2.780635319	48.86843597	5	3323	4.549	0.909	3.179	161.354	00:02:50.987	0.944
105302.343	1053	02.343	2.780619278	48.86839953	5	3323	4.220	0.842	3.218	165.574	00:02:56.000	0.941
105328.390	1053	28.390	2.780580142	48.86836166	10	3323	5.095	0.196	3.318	170.669	00:03:22.047	0.845
105440.507	1054	40.507	2.780579336	48.86824742	5	3323	12.706	0.176	3.143	183.375	00:04:34.164	0.669
105441.747	1054	41.747	2.780579587	48.86824319	10	3323	0.471	0.380	3.131	183.846	00:04:35.404	0.668
105451.370	1054	51.370	2.780573343	48.86820669	5	3323	4.085	0.425	3.171	187.931	00:04:45.027	0.659
105452.323	1054	52.323	2.780570512	48.86820071	5	3323	0.697	0.731	3.223	188.628	00:04:45.980	0.660
105453.353	1054	53.353	2.780567448	48.86819403	5	3323	0.776	0.753	3.221	189.404	00:04:47.010	0.660
105454.327	1054	54.327	2.780563113	48.86818677	5	3323	0.868	0.891	3.244	190.272	00:04:47.984	0.661
105455.357	1054	55.357	2.780560222	48.86817828	5	3323	0.968	0.940	3.200	191.24	00:04:49.014	0.662
105456.337	1054	56.337	2.780558215	48.86817056	5	3323	0.871	0.889	3.186	192.111	00:04:49.994	0.662
105457.387	1054	57.387	2.780556255	48.86816527	5	3323	0.606	0.577	3.205	192.717	00:04:51.044	0.662
105458.307	1054	58.307	2.780556433	48.86815963	15	3323	0.627	0.682	3.136	193.344	00:04:51.964	0.662
105459.317	1054	59.317	2.780557114	48.868154	15	3323	0.628	0.622	3.121	193.972	00:04:52.974	0.662
105500.363	1055	00.363	2.780557117	48.86814901	10	3323	0.555	0.531	3.141	194.527	00:04:54.020	0.662
105501.317	1055	01.317	2.78055692	48.86814475	5	3323	0.474	0.497	3.150	195.001	00:04:54.974	0.661
105502.390	1055	02.390	2.780554008	48.86813975	5	3323	0.596	0.555	3.242	195.597	00:04:56.047	0.661
105503.303	1055	03.303	2.780549288	48.86813483	5	3323	0.647	0.709	3.306	196.244	00:04:56.960	0.661
