# Position data for device 104 on 20110423
# hhmmss.sss	hhmm	ss.sss	longitude	latitude	accuracy	session_id	leg distance	leg mps	bearing	total distance	total time	average mps
102250.590	1022	50.590	2.779056804	48.87078928	100	3292	0	0	0	0	00:00:00.000	0
102257.503	1022	57.503	2.779218815	48.87059333	15	3292	24.816	3.590	2.998	24.816	00:00:06.913	3.590
102303.297	1023	03.297	2.779218815	48.87059333	15	3292	0.000	0.000	0.000	24.816	00:00:12.707	1.953
102304.973	1023	04.973	2.779186728	48.87068576	15	3292	10.545	6.292	6.222	35.361	00:00:14.383	2.459
102458.073	1024	58.073	2.779455682	48.87039956	25	3292	37.436	0.331	2.979	72.797	00:02:07.483	0.571
102459.047	1024	59.047	2.779518217	48.8702585	25	3292	16.344	16.780	3.064	89.141	00:02:08.457	0.694
102501.437	1025	01.437	2.779570242	48.87012804	25	3292	15.002	6.277	3.072	104.143	00:02:10.847	0.796
102649.727	1026	49.727	2.778612083	48.8712666	25	3292	144.784	1.337	6.136	248.927	00:03:59.137	1.041
102849.680	1028	49.680	2.778073692	48.871499	25	3292	47.157	0.393	5.896	296.084	00:05:59.090	0.825
103040.733	1030	40.733	2.777008936	48.8725155	15	3292	137.352	1.237	6.100	433.436	00:07:50.143	0.922
103225.977	1032	25.977	2.775990157	48.87262628	25	3292	75.645	0.719	5.263	509.081	00:09:35.387	0.885
103227.907	1032	27.907	2.775937165	48.87261389	15	3292	4.119	2.134	3.790	513.2	00:09:37.317	0.889
103234.867	1032	34.867	2.775841584	48.87257896	5	3292	8.008	1.151	3.593	521.208	00:09:44.277	0.892
103408.223	1034	08.223	2.774950326	48.87241425	15	3292	67.814	0.726	3.905	589.022	00:11:17.633	0.869
103419.447	1034	19.447	2.774950326	48.87241425	10	3292	0.000	0.000	0.000	589.022	00:11:28.857	0.855
103422.497	1034	22.497	2.774798719	48.87241239	5	3292	11.109	3.642	4.643	600.131	00:11:31.907	0.867
103426.513	1034	26.513	2.774732631	48.87242692	5	3292	5.104	1.271	5.606	605.235	00:11:35.923	0.870
103455.483	1034	55.483	2.774579259	48.87260873	5	3292	23.133	0.799	6.135	628.368	00:12:04.893	0.867
103459.400	1034	59.400	2.774546891	48.8726377	5	3292	4.001	1.021	6.088	632.369	00:12:08.810	0.868
103502.507	1035	02.507	2.7745103	48.87266493	5	3292	4.044	1.302	6.050	636.413	00:12:11.917	0.870
103531.650	1035	31.650	2.774219034	48.87284327	5	3292	29.133	1.000	6.001	665.546	00:12:41.060	0.874
103534.540	1035	34.540	2.77420261	48.8728643	10	3292	2.630	0.910	6.146	668.176	00:12:43.950	0.875
103539.407	1035	39.407	2.774187017	48.87290592	5	3292	4.768	0.980	6.217	672.944	00:12:48.817	0.875
103543.480	1035	43.480	2.774203364	48.87294776	10	3292	4.805	1.180	0.069	677.749	00:12:52.890	0.877
103720.700	1037	20.700	2.773987898	48.87328385	25	3292	40.576	0.417	6.170	718.325	00:14:30.110	0.826
103908.797	1039	08.797	2.772862552	48.873632	25	3292	91.081	0.843	5.761	809.406	00:16:18.207	0.827
111217.040	1112	17.040	2.77353095	48.87301737	25	3292	84.086	0.042	2.951	893.492	00:49:26.450	0.301
111422.003	1114	22.003	2.774053046	48.87349308	25	3292	65.285	0.522	0.193	958.777	00:51:31.413	0.310
111430.593	1114	30.593	2.774057995	48.87360067	25	3292	11.971	1.394	0.008	970.748	00:51:40.003	0.313
111628.937	1116	28.937	2.773834642	48.87320835	15	3292	46.600	0.394	3.242	1017.348	00:53:38.347	0.316
111632.653	1116	32.653	2.773905655	48.87312751	15	3292	10.387	2.795	2.987	1027.735	00:53:42.063	0.319
111638.667	1116	38.667	2.773960586	48.87302511	15	3292	12.079	2.008	3.047	1039.814	00:53:48.077	0.322
111825.903	1118	25.903	2.774695775	48.87240688	25	3292	87.342	0.814	2.934	1127.156	00:55:35.313	0.338
112015.997	1120	15.997	2.774231591	48.87179003	25	3292	76.571	0.696	3.273	1203.727	00:57:25.407	0.349
112204.937	1122	04.937	2.77393747	48.87134859	15	3292	53.617	0.492	3.258	1257.344	00:59:14.347	0.354
112357.950	1123	57.950	2.77370918	48.87135305	25	3292	16.732	0.148	4.823	1274.076	01:01:07.360	0.347
112546.273	1125	46.273	2.772873666	48.87192585	15	3292	88.347	0.816	6.031	1362.423	01:02:55.683	0.361
112552.653	1125	52.653	2.772818859	48.87201321	15	3292	10.513	1.648	6.173	1372.936	01:03:02.063	0.363
112603.687	1126	03.687	2.772801992	48.87213589	10	3292	13.700	1.242	6.259	1386.636	01:03:13.097	0.366
112639.690	1126	39.690	2.772536593	48.87227336	5	3292	24.734	0.687	5.954	1411.37	01:03:49.100	0.369
112642.720	1126	42.720	2.772486403	48.87229156	5	3292	4.197	1.385	5.830	1415.567	01:03:52.130	0.369
112646.660	1126	46.660	2.772435022	48.87232144	5	3292	5.021	1.274	5.988	1420.588	01:03:56.070	0.370
112649.700	1126	49.700	2.772391381	48.87234411	5	3292	4.072	1.339	5.955	1424.66	01:03:59.110	0.371
112715.700	1127	15.700	2.772206473	48.87237879	5	3292	14.085	0.542	5.527	1438.745	01:04:25.110	0.372
112718.650	1127	18.650	2.772190877	48.87239453	5	3292	2.090	0.708	6.110	1440.835	01:04:28.060	0.372
112904.927	1129	04.927	2.771785333	48.87263008	15	3292	39.610	0.373	5.987	1480.445	01:06:14.337	0.373
112908.663	1129	08.663	2.771897552	48.87256281	10	3292	11.116	2.975	2.855	1491.561	01:06:18.073	0.375
112911.613	1129	11.613	2.772031099	48.87249734	10	3292	12.196	4.134	2.795	1503.757	01:06:21.023	0.378
112958.893	1129	58.893	2.772122118	48.87224555	15	3292	28.787	0.609	3.078	1532.544	01:07:08.303	0.380
113002.597	1130	02.597	2.772162194	48.87233904	15	3292	10.804	2.917	0.076	1543.348	01:07:12.007	0.383
113034.650	1130	34.650	2.772139084	48.87240479	5	3292	7.506	0.234	6.221	1550.854	01:07:44.060	0.382
113102.630	1131	02.630	2.772121758	48.87237168	5	3292	3.895	0.139	3.234	1554.749	01:08:12.040	0.380
113246.337	1132	46.337	2.771987294	48.87239355	10	3292	10.147	0.098	5.456	1564.896	01:09:55.747	0.373
