# Position data for device 173 on 20110423
# hhmmss.sss	hhmm	ss.sss	longitude	latitude	accuracy	session_id	leg distance	leg mps	bearing	total distance	total time	average mps
105633.687	1056	33.687	2.780180731	48.86815316	25	3339	0	0	0	0	00:00:00.000	0
105635.567	1056	35.567	2.780180731	48.86815316	25	3339	0.000	0.000	0.000	0	00:00:01.880	0.000
105822.660	1058	22.660	2.780609674	48.86789118	15	3339	42.856	0.400	2.867	42.856	00:01:48.973	0.393
105824.763	1058	24.763	2.780485357	48.86797441	15	3339	12.986	6.175	6.031	55.842	00:01:51.076	0.503
105831.403	1058	31.403	2.780345589	48.8680994	25	3339	17.266	2.600	6.093	73.108	00:01:57.716	0.621
105901.707	1059	01.707	2.780293887	48.86816225	25	3339	7.950	0.262	6.142	81.058	00:02:28.020	0.548
105937.707	1059	37.707	2.780160148	48.86821741	25	3339	11.560	0.321	5.887	92.618	00:03:04.020	0.503
110012.663	1100	12.663	2.780044862	48.86801456	10	3339	24.090	0.689	3.239	116.708	00:03:38.976	0.533
110018.393	1100	18.393	2.779991032	48.86799095	10	3339	4.738	0.827	3.516	121.446	00:03:44.706	0.540
110022.407	1100	22.407	2.779937581	48.86798344	10	3339	4.004	0.998	4.029	125.45	00:03:48.720	0.548
110224.480	1102	24.480	2.779494015	48.86715036	50	3339	98.188	0.804	3.233	223.638	00:05:50.793	0.638
110225.397	1102	25.397	2.779494015	48.86715036	50	3339	0.000	0.000	0.000	223.638	00:05:51.710	0.636
110226.457	1102	26.457	2.77944252	48.86726093	50	3339	12.863	12.135	6.203	236.501	00:05:52.770	0.670
110228.437	1102	28.437	2.77939206	48.86717102	25	3339	10.661	5.384	3.238	247.162	00:05:54.750	0.697
110229.643	1102	29.643	2.779386919	48.86712286	15	3339	5.370	4.453	3.160	252.532	00:05:55.956	0.709
110230.830	1102	30.830	2.779386626	48.86709743	15	3339	2.828	2.382	3.144	255.36	00:05:57.143	0.715
110231.777	1102	31.777	2.77938904	48.86708028	15	3339	1.916	2.023	3.117	257.276	00:05:58.090	0.718
110232.850	1102	32.850	2.779391466	48.86706872	15	3339	1.298	1.210	3.106	258.574	00:05:59.163	0.720
110234.690	1102	34.690	2.779397085	48.86704229	15	3339	2.968	1.613	3.105	261.542	00:06:01.003	0.724
110235.993	1102	35.993	2.779399639	48.86703036	15	3339	1.340	1.028	3.105	262.882	00:06:02.306	0.726
110236.887	1102	36.887	2.779400802	48.86701707	15	3339	1.481	1.657	3.127	264.363	00:06:03.200	0.728
110237.420	1102	37.420	2.779400452	48.86700324	15	3339	1.538	2.886	3.146	265.901	00:06:03.733	0.731
110238.450	1102	38.450	2.779402891	48.8669869	15	3339	1.826	1.773	3.116	267.727	00:06:04.763	0.734
110239.683	1102	39.683	2.779407704	48.866968	15	3339	2.131	1.728	3.098	269.858	00:06:05.996	0.737
110240.943	1102	40.943	2.779407704	48.866968	0	3339	0.000	0.000	3.142	269.858	00:06:07.256	0.735
110241.780	1102	41.780	2.779411208	48.86695069	15	3339	1.942	2.320	3.107	271.8	00:06:08.093	0.738
110242.560	1102	42.560	2.779410472	48.86691388	15	3339	4.094	5.249	3.145	275.894	00:06:08.873	0.748
110243.823	1102	43.823	2.779408524	48.86689273	15	3339	2.357	1.866	3.157	278.251	00:06:10.136	0.752
110244.527	1102	44.527	2.7794009	48.86686976	10	3339	2.615	3.714	3.198	280.866	00:06:10.840	0.757
110245.750	1102	45.750	2.779394988	48.86684998	10	3339	2.242	1.833	3.193	283.108	00:06:12.063	0.761
110246.883	1102	46.883	2.779390593	48.86683192	10	3339	2.034	1.795	3.183	285.142	00:06:13.196	0.764
110247.627	1102	47.627	2.779388316	48.86681662	10	3339	1.710	2.298	3.167	286.852	00:06:13.940	0.767
110248.373	1102	48.373	2.779386534	48.8668119	10	3339	0.541	0.725	3.206	287.393	00:06:14.686	0.767
110249.407	1102	49.407	2.779392719	48.86679989	10	3339	1.411	1.365	3.054	288.804	00:06:15.720	0.769
110250.400	1102	50.400	2.779395117	48.86678688	10	3339	1.458	1.468	3.110	290.262	00:06:16.713	0.771
110251.387	1102	51.387	2.779396512	48.86677499	10	3339	1.326	1.343	3.122	291.588	00:06:17.700	0.772
110252.723	1102	52.723	2.779397864	48.86676463	10	3339	1.156	0.865	3.119	292.744	00:06:19.036	0.772
110253.363	1102	53.363	2.779398275	48.86675426	10	3339	1.154	1.803	3.135	293.898	00:06:19.676	0.774
110254.437	1102	54.437	2.779399151	48.86674424	10	3339	1.116	1.039	3.127	295.014	00:06:20.750	0.775
110255.407	1102	55.407	2.779399492	48.86673331	10	3339	1.216	1.254	3.136	296.23	00:06:21.720	0.776
110256.953	1102	56.953	2.779399492	48.86673331	0	3339	0.000	0.000	0.000	296.23	00:06:23.266	0.773
110257.537	1102	57.537	2.779399909	48.86672226	10	3339	1.229	2.104	3.135	297.459	00:06:23.850	0.775
110258.587	1102	58.587	2.779401541	48.86669661	10	3339	2.855	2.719	3.131	300.314	00:06:24.900	0.780
110259.720	1102	59.720	2.779402314	48.86668351	10	3339	1.458	1.287	3.131	301.772	00:06:26.033	0.782
