# Position data for device 226 on 20110430
# hhmmss.sss	hhmm	ss.sss	longitude	latitude	accuracy	session_id	leg distance	leg mps	bearing	total distance	total time	average mps
094803.117	0948	03.117	2.778706849	48.86813985	15	6030	0	0	0	0	00:00:00.000	0
094853.167	0948	53.167	2.778427392	48.86832928	25	6030	29.378	0.587	6.034	29.378	00:00:50.050	0.587
094902.537	0949	02.537	2.778449974	48.86823761	10	6030	10.329	1.102	3.099	39.707	00:00:59.420	0.668
094947.510	0949	47.510	2.778408414	48.86822407	5	6030	3.397	0.076	3.629	43.104	00:01:44.393	0.413
095042.773	0950	42.773	2.778286875	48.86836388	15	6030	17.919	0.324	6.134	61.023	00:02:39.656	0.382
095051.657	0950	51.657	2.778370564	48.86827466	10	6030	11.664	1.313	2.981	72.687	00:02:48.540	0.431
095153.787	0951	53.787	2.778247288	48.86825625	15	6030	9.261	0.149	3.999	81.948	00:03:50.670	0.355
095258.817	0952	58.817	2.778328681	48.86818546	15	6030	9.877	0.152	2.946	91.825	00:04:55.700	0.311
095404.803	0954	04.803	2.778221454	48.86800454	10	6030	21.601	0.327	3.243	113.426	00:06:01.686	0.314
095508.843	0955	08.843	2.777985438	48.8676721	25	6030	40.817	0.637	3.263	154.243	00:07:05.726	0.362
095619.823	0956	19.823	2.777706068	48.8676079	15	6030	21.678	0.305	3.784	175.921	00:08:16.706	0.354
095728.820	0957	28.820	2.777777285	48.86807715	15	6030	52.449	0.760	0.026	228.37	00:09:25.703	0.404
095732.563	0957	32.563	2.777854254	48.86799268	10	6030	10.957	2.927	2.986	239.327	00:09:29.446	0.420
095737.597	0957	37.597	2.777851975	48.86789596	10	6030	10.758	2.137	3.146	250.085	00:09:34.480	0.435
095833.750	0958	33.750	2.777607769	48.86813501	15	6030	32.046	0.571	6.109	282.131	00:10:30.633	0.447
095834.660	0958	34.660	2.777697973	48.86801552	15	6030	14.842	16.310	3.012	296.973	00:10:31.543	0.470
095839.697	0958	39.697	2.777812452	48.86795068	15	6030	11.061	2.196	2.846	308.034	00:10:36.580	0.484
095938.843	0959	38.843	2.77798745	48.86790294	15	6030	13.877	0.235	2.578	321.911	00:11:35.726	0.463
100050.900	1000	50.900	2.778254729	48.86780181	25	6030	22.583	0.313	2.714	344.494	00:12:47.783	0.449
100059.557	1000	59.557	2.778114449	48.86783473	15	6030	10.910	1.260	5.650	355.404	00:12:56.440	0.458
100101.640	1001	01.640	2.778114449	48.86783473	15	6030	0.000	0.000	3.142	355.404	00:12:58.523	0.457
100106.510	1001	06.510	2.778001274	48.8678893	10	6030	10.276	2.110	5.940	365.68	00:13:03.393	0.467
100115.497	1001	15.497	2.777933369	48.86792497	10	6030	6.363	0.708	5.966	372.043	00:13:12.380	0.470
100130.540	1001	30.540	2.778007167	48.86789067	5	6030	6.617	0.440	2.786	378.66	00:13:27.423	0.469
100140.520	1001	40.520	2.778080201	48.86786254	5	6030	6.198	0.621	2.721	384.858	00:13:37.403	0.471
100201.583	1002	01.583	2.778121472	48.86784552	10	6030	3.567	0.169	2.746	388.425	00:13:58.466	0.463
100306.927	1003	06.927	2.778286233	48.86795816	25	6030	17.397	0.266	0.247	405.822	00:15:03.810	0.449
100308.850	1003	08.850	2.778210459	48.86785538	15	6030	12.708	6.608	3.268	418.53	00:15:05.733	0.462
100312.540	1003	12.540	2.778154313	48.86776778	15	6030	10.576	2.866	3.252	429.106	00:15:09.423	0.472
100411.947	1004	11.947	2.778013466	48.86782077	15	6030	11.884	0.200	5.854	440.99	00:16:08.830	0.455
100618.570	1006	18.570	2.778200974	48.86796643	25	6030	21.241	0.168	0.218	462.231	00:18:15.453	0.422
100724.940	1007	24.940	2.778070546	48.86783966	25	6030	17.032	0.257	3.317	479.263	00:19:21.823	0.413
100827.947	1008	27.947	2.77816338	48.86786893	25	6030	7.540	0.120	0.500	486.803	00:20:24.830	0.397
100829.867	1008	29.867	2.778051807	48.86793228	25	6030	10.792	5.621	5.988	497.595	00:20:26.750	0.406
