# Position data for device 175 on 20110422
# hhmmss.sss	hhmm	ss.sss	longitude	latitude	accuracy	session_id	leg distance	leg mps	bearing	total distance	total time	average mps
104626.623	1046	26.623	2.78054608	48.86801321	50	3090	0	0	0	0	00:00:00.000	0
104627.577	1046	27.577	2.78054608	48.86801321	0	3090	0.000	0.000	0.000	0	00:00:00.954	0.000
104633.277	1046	33.277	2.78054608	48.86801321	25	3090	0.000	0.000	0.000	0	00:00:06.654	0.000
104824.987	1048	24.987	2.780489665	48.86815018	25	3090	15.784	0.141	6.212	15.784	00:01:58.364	0.133
104905.757	1049	05.757	2.780492904	48.86813683	5	3090	1.504	0.037	3.100	17.288	00:02:39.134	0.109
104940.533	1049	40.533	2.780557489	48.86818882	10	3090	7.472	0.215	0.211	24.76	00:03:13.910	0.128
104949.370	1049	49.370	2.780502343	48.86819666	5	3090	4.133	0.468	5.401	28.893	00:03:22.747	0.143
105016.363	1050	16.363	2.780371264	48.86830043	5	3090	15.014	0.556	6.068	43.907	00:03:49.740	0.191
105020.317	1050	20.317	2.780358334	48.86830051	5	3090	0.947	0.240	4.748	44.854	00:03:53.694	0.192
105209.517	1052	09.517	2.780256057	48.86803011	10	3090	30.993	0.284	3.207	75.847	00:05:42.894	0.221
105210.453	1052	10.453	2.780256057	48.86803011	10	3090	0.000	0.000	0.000	75.847	00:05:43.830	0.221
105220.337	1052	20.337	2.780140352	48.86797155	10	3090	10.690	1.082	3.470	86.537	00:05:53.714	0.245
105619.367	1056	19.367	2.779086921	48.86719283	100	3090	116.008	0.485	3.370	202.545	00:09:52.744	0.342
105620.327	1056	20.327	2.779086921	48.86719283	100	3090	0.000	0.000	0.000	202.545	00:09:53.704	0.341
105621.323	1056	21.323	2.779345919	48.86723262	25	3090	19.485	19.563	0.841	222.03	00:09:54.700	0.373
105622.390	1056	22.390	2.779222598	48.86731828	25	3090	13.130	12.306	6.041	235.16	00:09:55.767	0.395
105624.337	1056	24.337	2.779120915	48.86733355	15	3090	7.641	3.924	5.431	242.801	00:09:57.714	0.406
105625.250	1056	25.250	2.779060402	48.86734395	15	3090	4.582	5.019	5.498	247.383	00:09:58.627	0.413
105626.243	1056	26.243	2.779000699	48.86735439	15	3090	4.526	4.558	5.506	251.909	00:09:59.620	0.420
105627.247	1056	27.247	2.779000699	48.86735439	15	3090	0.000	0.000	0.000	251.909	00:10:00.624	0.419
105658.300	1056	58.300	2.779238311	48.8672894	10	3090	18.850	0.607	2.581	270.759	00:10:31.677	0.429
105701.343	1057	01.343	2.779244631	48.86724591	5	3090	4.859	1.597	3.117	275.618	00:10:34.720	0.434
105705.257	1057	05.257	2.779236429	48.86720182	5	3090	4.940	1.262	3.174	280.558	00:10:38.634	0.439
105734.343	1057	34.343	2.779152431	48.86714625	5	3090	8.722	0.300	3.395	289.28	00:11:07.720	0.433
105811.327	1058	11.327	2.779103776	48.86717606	5	3090	4.868	0.132	6.010	294.148	00:11:44.704	0.417
105813.270	1058	13.270	2.779094927	48.86721406	10	3090	4.276	2.201	6.243	298.424	00:11:46.647	0.422
105816.337	1058	16.337	2.779075021	48.86725065	10	3090	4.323	1.410	6.190	302.747	00:11:49.714	0.427
105846.333	1058	46.333	2.778803053	48.86739767	10	3090	25.776	0.859	5.975	328.523	00:12:19.710	0.444
105847.297	1058	47.297	2.778798982	48.86740435	5	3090	0.801	0.831	6.179	329.324	00:12:20.674	0.445
105848.270	1058	48.270	2.778794467	48.86741077	5	3090	0.787	0.809	6.163	330.111	00:12:21.647	0.445
105849.307	1058	49.307	2.778789725	48.8674168	5	3090	0.755	0.728	6.149	330.866	00:12:22.684	0.446
105850.373	1058	50.373	2.778784103	48.86742248	5	3090	0.754	0.707	6.115	331.62	00:12:23.750	0.446
105851.297	1058	51.297	2.7787785	48.86742814	10	3090	0.752	0.814	6.115	332.372	00:12:24.674	0.446
105852.287	1058	52.287	2.778773011	48.86743394	5	3090	0.760	0.768	6.122	333.132	00:12:25.664	0.447
105853.313	1058	53.313	2.778767141	48.86744001	5	3090	0.800	0.780	6.118	333.932	00:12:26.690	0.447
105854.287	1058	54.287	2.778761879	48.86744647	5	3090	0.815	0.837	6.144	334.747	00:12:27.664	0.448
105855.307	1058	55.307	2.778755487	48.86745375	5	3090	0.935	0.917	6.133	335.682	00:12:28.684	0.448
105856.353	1058	56.353	2.778748624	48.86746196	5	3090	1.042	0.996	6.140	336.724	00:12:29.730	0.449
105857.327	1058	57.327	2.778741986	48.86747113	5	3090	1.130	1.160	6.159	337.854	00:12:30.704	0.450
105858.323	1058	58.323	2.778735212	48.86748109	5	3090	1.214	1.219	6.167	339.068	00:12:31.700	0.451
105859.310	1058	59.310	2.778728029	48.86749157	5	3090	1.279	1.296	6.166	340.347	00:12:32.687	0.452
